Fecha,Valor BADLAR (%)
2018-01-02,23.0625
2018-01-03,23.25
2018-01-04,23.125
2018-01-05,23.1875
2018-01-08,22.875
2018-01-09,23.0625
2018-01-10,22.25
2018-01-11,22.8125
2018-01-12,22.9375
2018-01-15,23.00
2018-01-16,23.125
2018-01-17,22.9375
2018-01-18,23.25
2018-01-19,23.125
2018-01-22,22.875
2018-01-23,22.9375
2018-01-24,22.9375
2018-01-25,22.375
2018-01-26,22.8125
2018-01-29,23.00
2018-01-30,23.125
2018-01-31,23.1875
2018-02-01,22.6875
2018-02-02,22.8125
2018-02-05,22.6875
2018-02-06,22.8125
2018-02-07,22.5625
2018-02-08,23.00
2018-02-09,22.125
2018-02-14,22.75
2018-02-15,22.75
2018-02-16,22.75
2018-02-19,23.25
2018-02-20,23.1875
2018-02-21,22.8125
2018-02-22,22.875
2018-02-23,22.8125
2018-02-26,22.4375
2018-02-27,22.9375
2018-02-28,22.8125
2018-03-01,22.875
2018-03-02,22.9375
2018-03-05,22.75
2018-03-06,23.0625
2018-03-07,22.625
2018-03-08,22.8125
2018-03-09,22.75
2018-03-12,22.5625
2018-03-13,23.00
2018-03-14,23.0625
2018-03-15,22.50
2018-03-16,22.75
2018-03-19,22.8125
2018-03-20,22.9375
2018-03-21,23.3125
2018-03-22,23.125
2018-03-23,22.6875
2018-03-26,22.6875
2018-03-27,22.4375
2018-03-28,22.5625
2018-04-03,22.75
2018-04-04,22.8125
2018-04-05,22.875
2018-04-06,22.625
2018-04-09,22.6875
2018-04-10,22.875
2018-04-11,22.50
2018-04-12,22.8125
2018-04-13,22.8125
2018-04-16,22.75
2018-04-17,23.50
2018-04-18,23.00
2018-04-19,22.75
2018-04-20,23.00
2018-04-23,22.6875
2018-04-24,23.0625
2018-04-25,22.75
2018-04-26,22.4375
2018-04-27,22.8125
2018-05-02,23.50
2018-05-03,23.75
2018-05-04,25.75
2018-05-07,26.0625
2018-05-08,28.25
2018-05-09,28.6875
2018-05-10,29.0625
2018-05-11,28.625
2018-05-14,28.6875
2018-05-15,31.125
2018-05-16,29.25
2018-05-17,30.125
2018-05-18,29.25
2018-05-21,29.00
2018-05-22,29.50
2018-05-23,28.1875
2018-05-24,28.50
2018-05-28,28.25
2018-05-29,29.00
2018-05-30,29.4375
2018-05-31,30.00
2018-06-01,29.25
2018-06-04,28.8125
2018-06-05,29.4375
2018-06-06,29.3125
2018-06-07,29.1875
2018-06-08,29.4375
2018-06-11,28.9375
2018-06-12,29.75
2018-06-13,29.8125
2018-06-14,29.4375
2018-06-15,29.3125
2018-06-18,30.6875
2018-06-19,31.75
2018-06-21,32.0625
2018-06-22,31.75
2018-06-25,32.875
2018-06-26,32.375
2018-06-27,31.875
2018-06-28,32.5625
2018-06-29,32.6875
2018-07-02,33.00
2018-07-03,33.75
2018-07-04,33.375
2018-07-05,33.9375
2018-07-06,33.8125
2018-07-10,33.375
2018-07-11,33.50
2018-07-12,33.75
2018-07-13,34.8125
2018-07-16,34.375
2018-07-17,34.6875
2018-07-18,36.0625
2018-07-19,36.125
2018-07-20,35.5625
2018-07-23,34.5625
2018-07-24,35.125
2018-07-25,35.25
2018-07-26,35.1875
2018-07-27,34.3125
2018-07-30,35.1875
2018-07-31,35.1875
2018-08-01,35.125
2018-08-02,34.9375
2018-08-03,34.375
2018-08-06,34.5625
2018-08-07,34.8125
2018-08-08,34.00
2018-08-09,34.5625
2018-08-10,33.75
2018-08-13,34.75
2018-08-14,35.50
2018-08-15,36.00
2018-08-16,35.4375
2018-08-17,35.625
2018-08-21,35.4375
2018-08-22,34.25
2018-08-23,35.4375
2018-08-24,35.0625
2018-08-27,34.625
2018-08-28,34.875
2018-08-29,35.0625
2018-08-30,36.0625
2018-08-31,39.4375
2018-09-03,39.00
2018-09-04,40.0625
2018-09-05,40.3125
2018-09-06,40.5625
2018-09-07,40.5625
2018-09-10,39.9375
2018-09-11,40.50
2018-09-12,40.50
2018-09-13,41.00
2018-09-14,40.8125
2018-09-17,42.4375
2018-09-18,43.25
2018-09-19,45.4375
2018-09-20,43.9375
2018-09-21,42.6875
2018-09-24,43.125
2018-09-25,44.50
2018-09-26,42.4375
2018-09-27,42.75
2018-09-28,43.3125
2018-10-01,45.4375
2018-10-02,47.875
2018-10-03,47.25
2018-10-04,48.6875
2018-10-05,48.6875
2018-10-08,49.00
2018-10-09,50.1875
2018-10-10,48.8125
2018-10-11,48.6875
2018-10-12,51.375
2018-10-16,49.8125
2018-10-17,52.8125
2018-10-18,53.4375
2018-10-19,53.25
2018-10-22,51.1875
2018-10-23,52.5625
2018-10-24,51.50
2018-10-25,53.8125
2018-10-26,50.25
2018-10-29,51.4375
2018-10-30,53.25
2018-10-31,51.50
2018-11-01,53.625
2018-11-02,51.25
2018-11-05,51.6875
2018-11-07,52.125
2018-11-08,52.0625
2018-11-09,50.9375
2018-11-12,51.875
2018-11-13,51.25
2018-11-14,53.0625
2018-11-15,52.25
2018-11-16,51.5625
2018-11-20,51.125
2018-11-21,50.3125
2018-11-22,50.4375
2018-11-23,50.0625
2018-11-26,48.8125
2018-11-27,51.625
2018-11-28,50.625
2018-11-29,51.25
2018-12-03,49.25
2018-12-04,50.1875
2018-12-05,49.1875
2018-12-06,49.25
2018-12-07,48.875
2018-12-10,48.00
2018-12-11,49.625
2018-12-12,47.8125
2018-12-13,48.5625
2018-12-14,47.3125
2018-12-17,48.50
2018-12-18,48.0625
2018-12-19,49.5625
2018-12-20,48.5625
2018-12-21,47.9375
2018-12-26,47.00
2018-12-27,48.25
2018-12-28,49.50
2019-01-02,47.00
2019-01-03,47.50
2019-01-04,46.9375
2019-01-07,47.25
2019-01-08,47.0625
2019-01-09,45.9375
2019-01-10,46.5625
2019-01-11,45.625
2019-01-14,45.875
2019-01-15,46.50
2019-01-16,45.625
2019-01-17,45.75
2019-01-18,46.00
2019-01-21,45.125
2019-01-22,45.5625
2019-01-23,45.8125
2019-01-24,45.375
2019-01-25,44.625
2019-01-28,44.50
2019-01-29,44.625
2019-01-30,44.0625
2019-01-31,44.5625
2019-02-01,42.5625
2019-02-04,42.375
2019-02-05,41.4375
2019-02-06,40.8125
2019-02-07,39.4375
2019-02-08,38.125
2019-02-11,37.375
2019-02-12,36.625
2019-02-13,35.875
2019-02-14,36.0625
2019-02-15,35.375
2019-02-18,35.25
2019-02-19,35.375
2019-02-20,35.1875
2019-02-21,35.9375
2019-02-22,36.5625
2019-02-25,36.00
2019-02-26,37.375
2019-02-27,36.8125
2019-02-28,37.125
2019-03-01,36.625
2019-03-06,36.5625
2019-03-07,37.3125
2019-03-08,39.125
2019-03-11,39.5625
2019-03-12,40.8125
2019-03-13,40.75
2019-03-14,41.3125
2019-03-15,43.50
2019-03-18,42.25
2019-03-19,43.125
2019-03-20,42.0625
2019-03-21,43.25
2019-03-22,43.00
2019-03-25,44.1875
2019-03-26,44.125
2019-03-27,43.25
2019-03-28,45.3125
2019-03-29,45.6875
2019-04-01,46.125
2019-04-03,48.50
2019-04-04,48.50
2019-04-05,47.25
2019-04-08,47.6875
2019-04-09,48.8125
2019-04-10,47.8125
2019-04-11,48.8125
2019-04-12,48.125
