date,compra,venta
2018-01-02,18.36,18.76
2018-01-03,18.38,18.78
2018-01-04,18.56,18.96
2018-01-05,18.86,19.26
2018-01-08,18.94,19.34
2018-01-09,18.91,19.31
2018-01-10,18.59,18.99
2018-01-11,18.6,19.0
2018-01-12,18.62,19.02
2018-01-15,18.66,19.06
2018-01-16,18.8,19.2
2018-01-17,18.82,19.22
2018-01-18,18.76,19.16
2018-01-19,18.91,19.31
2018-01-22,19.04,19.44
2018-01-23,19.26,19.66
2018-01-24,19.53,19.93
2018-01-25,19.45,19.85
2018-01-26,19.45,19.85
2018-01-29,19.5,19.9
2018-01-30,19.51,19.91
2018-01-31,19.55,19.95
2018-02-01,19.36,19.76
2018-02-02,19.43,19.83
2018-02-05,19.41,19.81
2018-02-06,19.55,19.95
2018-02-07,19.55,19.95
2018-02-08,19.8,20.2
2018-02-09,19.96,20.36
2018-02-14,19.84,20.24
2018-02-15,19.63,20.03
2018-02-16,19.65,20.05
2018-02-19,19.78,20.18
2018-02-20,19.77,20.17
2018-02-21,19.82,20.22
2018-02-22,19.88,20.28
2018-02-23,19.88,20.28
2018-02-26,20.08,20.48
2018-02-27,20.1,20.5
2018-02-28,20.02,20.42
2018-03-01,20.04,20.44
2018-03-02,20.14,20.54
2018-03-05,20.12,20.52
2018-03-06,20.21,20.61
2018-03-07,20.3,20.7
2018-03-08,20.29,20.69
2018-03-09,20.15,20.55
2018-03-12,20.14,20.54
2018-03-13,20.21,20.61
2018-03-14,20.12,20.52
2018-03-15,20.21,20.61
2018-03-16,20.15,20.55
2018-03-19,20.15,20.55
2018-03-20,20.17,20.26
2018-03-21,20.17,20.27
2018-03-22,20.13,20.22
2018-03-23,20.09,20.19
2018-03-26,20.09,20.19
2018-03-27,20.07,20.17
2018-03-28,20.05,20.15
2018-04-03,20.15,20.55
2018-04-04,20.15,20.55
2018-04-05,20.15,20.55
2018-04-06,20.15,20.55
2018-04-09,20.11,20.51
2018-04-10,20.11,20.51
2018-04-11,20.07,20.47
2018-04-12,20.08,20.48
2018-04-13,20.11,20.51
2018-04-16,20.11,20.51
2018-04-17,20.09,20.49
2018-04-18,20.05,20.45
2018-04-19,20.07,20.47
2018-04-20,20.08,20.48
2018-04-23,20.13,20.53
2018-04-24,20.15,20.55
2018-04-25,20.15,20.55
2018-04-26,20.44,20.84
2018-04-27,20.5,20.9
2018-05-02,21.12,21.52
2018-05-03,22.6,23.0
2018-05-04,21.88,22.28
2018-05-07,21.53,22.33
2018-05-08,22.14,22.94
2018-05-09,22.33,23.13
2018-05-10,22.42,23.22
2018-05-11,23.09,23.79
2018-05-14,24.52,25.52
2018-05-15,23.83,24.63
2018-05-16,23.99,24.79
2018-05-17,24.11,24.91
2018-05-18,24.11,25.11
2018-05-21,23.93,24.93
2018-05-22,23.86,24.86
2018-05-23,24.03,25.03
2018-05-24,24.36,25.16
2018-05-28,24.45,25.25
2018-05-29,24.68,25.48
2018-05-30,24.69,25.49
2018-05-31,24.75,25.55
2018-06-01,24.78,25.58
2018-06-04,24.77,25.57
2018-06-05,24.76,25.56
2018-06-06,24.67,25.47
2018-06-07,24.75,25.55
2018-06-08,24.98,25.98
2018-06-11,25.45,26.45
2018-06-12,25.39,26.39
2018-06-13,25.73,26.73
2018-06-14,27.44,28.44
2018-06-15,27.85,28.85
2018-06-18,27.4,28.4
2018-06-19,27.46,28.46
2018-06-21,27.19,28.19
2018-06-22,26.76,27.76
2018-06-25,26.68,27.68
2018-06-26,26.73,27.73
2018-06-27,27.05,28.05
2018-06-28,27.68,28.68
2018-06-29,28.66,29.66
2018-07-02,28.08,29.08
2018-07-03,27.67,28.67
2018-07-04,27.8,28.8
2018-07-05,27.78,28.78
2018-07-06,27.64,28.64
2018-07-10,27.05,28.05
2018-07-11,27.21,28.21
2018-07-12,26.91,27.91
2018-07-13,26.95,27.95
2018-07-16,27.0,28.0
2018-07-17,27.17,28.17
2018-07-18,27.34,28.34
2018-07-19,27.39,28.39
2018-07-20,27.31,28.31
2018-07-23,27.31,28.31
2018-07-24,27.18,28.18
2018-07-25,27.06,28.06
2018-07-26,27.09,28.09
2018-07-27,27.04,28.04
2018-07-30,27.03,28.03
2018-07-31,27.05,28.05
2018-08-01,27.23,28.23
2018-08-02,27.19,28.19
2018-08-03,27.02,28.02
2018-08-06,27.07,28.07
2018-08-07,27.03,28.03
2018-08-08,27.23,28.23
2018-08-09,27.71,28.71
2018-08-10,28.85,29.85
2018-08-13,29.72,30.72
2018-08-14,29.42,30.42
2018-08-15,29.71,30.71
2018-08-16,29.49,30.49
2018-08-17,29.47,30.47
2018-08-21,29.59,30.59
2018-08-22,29.84,30.84
2018-08-23,29.99,30.99
2018-08-24,30.49,31.49
2018-08-27,30.57,31.57
2018-08-28,31.07,32.07
2018-08-29,33.28,34.48
2018-08-30,37.87,39.87
2018-08-31,36.0,38.0
2018-09-03,37.04,39.04
2018-09-04,37.79,39.79
2018-09-05,37.28,39.28
2018-09-06,36.4,38.4
2018-09-07,36.11,37.81
2018-09-10,36.5,38.2
2018-09-11,37.04,38.74
2018-09-12,37.38,39.08
2018-09-13,38.44,40.24
2018-09-14,38.83,40.53
2018-09-17,38.72,40.42
2018-09-18,38.83,40.53
2018-09-19,38.42,40.12
2018-09-20,37.24,38.99
