date,compra,venta
2018-01-02,18.72,18.72
2018-01-03,18.38,18.38
2018-01-04,18.53,18.53
2018-01-05,18.82,18.82
2018-01-08,18.89,18.89
2018-01-09,19.12,19.12
2018-01-10,18.98,18.98
2018-01-11,18.64,18.64
2018-01-12,18.83,18.83
2018-01-15,18.83,18.83
2018-01-16,18.78,18.78
2018-01-17,19.05,19.05
2018-01-18,18.94,18.94
2018-01-19,18.95,18.95
2018-01-22,19.02,19.02
2018-01-23,19.17,19.17
2018-01-24,19.38,19.38
2018-01-25,19.64,19.64
2018-01-26,19.64,19.64
2018-01-29,19.62,19.62
2018-01-30,19.62,19.62
2018-01-31,19.68,19.68
2018-02-01,19.7,19.7
2018-02-02,19.49,19.49
2018-02-05,19.51,19.51
2018-02-06,19.48,19.48
2018-02-07,19.58,19.58
2018-02-08,19.7,19.7
2018-02-09,20.0,20.0
2018-02-14,20.03,20.03
2018-02-15,20.15,20.15
2018-02-16,20.03,20.03
2018-02-19,20.03,20.03
2018-02-20,20.11,20.11
2018-02-21,19.98,19.98
2018-02-22,20.01,20.01
2018-02-23,20.06,20.06
2018-02-26,20.03,20.03
2018-02-27,20.32,20.32
2018-02-28,20.31,20.31
2018-03-01,20.16,20.16
2018-03-02,20.38,20.38
2018-03-05,20.43,20.43
2018-03-06,20.33,20.33
2018-03-07,20.41,20.41
2018-03-08,20.42,20.42
2018-03-09,20.45,20.45
2018-03-12,20.32,20.32
2018-03-13,20.29,20.29
2018-03-14,20.25,20.25
2018-03-15,20.22,20.22
2018-03-16,20.29,20.29
2018-03-19,20.23,20.23
2018-03-20,20.13,20.13
2018-03-21,20.27,20.27
2018-03-22,20.29,20.29
2018-03-23,20.3,20.3
2018-03-26,20.29,20.29
2018-03-27,20.19,20.19
2018-03-28,20.15,20.15
2018-04-03,20.23,20.23
2018-04-04,20.23,20.23
2018-04-05,20.23,20.23
2018-04-06,20.23,20.23
2018-04-09,20.25,20.25
2018-04-10,20.3,20.3
2018-04-11,20.2,20.2
2018-04-12,20.19,20.19
2018-04-13,20.19,20.19
2018-04-16,20.21,20.21
2018-04-17,20.18,20.18
2018-04-18,20.19,20.19
2018-04-19,20.14,20.14
2018-04-20,20.23,20.23
2018-04-23,20.24,20.24
2018-04-24,20.26,20.26
2018-04-25,20.23,20.23
2018-04-26,20.22,20.22
2018-04-27,20.83,20.83
2018-05-02,20.66,20.66
2018-05-03,21.29,21.29
2018-05-04,22.75,22.75
2018-05-07,22.03,22.03
2018-05-08,22.38,22.38
2018-05-09,22.38,22.38
2018-05-10,22.68,22.68
2018-05-11,22.6,22.6
2018-05-14,24.13,24.13
2018-05-15,25.73,25.73
2018-05-16,24.8,24.8
2018-05-17,24.91,24.91
2018-05-18,24.91,24.91
2018-05-21,24.91,24.91
2018-05-22,24.49,24.49
2018-05-23,24.32,24.32
2018-05-24,24.42,24.42
2018-05-28,24.42,24.42
2018-05-29,24.74,24.74
2018-05-30,24.93,24.93
2018-05-31,24.96,24.96
2018-06-01,25.02,25.02
2018-06-04,25.17,25.17
2018-06-05,24.99,24.99
2018-06-06,25.12,25.12
2018-06-07,25.05,25.05
2018-06-08,25.03,25.03
2018-06-11,25.49,25.49
2018-06-12,26.05,26.05
2018-06-13,26.7,26.7
2018-06-14,26.27,26.27
2018-06-15,28.18,28.18
2018-06-18,28.51,28.51
2018-06-19,27.6,27.6
2018-06-21,28.23,28.23
2018-06-22,28.07,28.07
2018-06-25,27.36,27.36
2018-06-26,27.19,27.19
2018-06-27,27.29,27.29
2018-06-28,27.29,27.29
2018-06-29,28.23,28.23
2018-07-02,28.64,28.64
2018-07-03,28.67,28.67
2018-07-04,28.67,28.67
2018-07-05,27.98,27.98
2018-07-06,28.27,28.27
2018-07-10,28.05,28.05
2018-07-11,27.29,27.29
2018-07-12,27.43,27.43
2018-07-13,27.28,27.28
2018-07-16,27.28,27.28
2018-07-17,27.31,27.31
2018-07-18,27.62,27.62
2018-07-19,27.72,27.72
2018-07-20,27.74,27.74
2018-07-23,27.69,27.69
2018-07-24,27.73,27.73
2018-07-25,27.48,27.48
2018-07-26,27.4,27.4
2018-07-27,27.47,27.47
2018-07-30,27.37,27.37
2018-07-31,27.33,27.33
2018-08-01,27.45,27.45
2018-08-02,27.64,27.64
2018-08-03,27.43,27.43
2018-08-06,27.3,27.3
2018-08-07,27.31,27.31
2018-08-08,27.28,27.28
2018-08-09,27.65,27.65
2018-08-10,28.1,28.1
2018-08-13,29.55,29.55
2018-08-14,30.21,30.21
2018-08-15,29.9,29.9
2018-08-16,30.33,30.33
2018-08-17,30.03,30.03
2018-08-21,30.05,30.05
2018-08-22,30.06,30.06
2018-08-23,30.32,30.32
2018-08-24,30.56,30.56
2018-08-27,30.94,30.94
2018-08-28,31.17,31.17
2018-08-29,31.81,31.81
