date,compra,venta
2018-10-29,36.97,36.97
2018-10-30,36.63,36.63
2018-10-31,35.93,35.93
2018-11-01,35.89,35.89
2018-11-02,35.66,35.66
2018-11-05,35.79,35.79
2018-11-07,35.76,35.76
2018-11-08,35.78,35.78
2018-11-09,35.55,35.55
2018-11-12,35.55,35.55
2018-11-13,35.99,35.99
2018-11-14,36.06,36.06
2018-11-15,36.3,36.3
2018-11-16,36.15,36.15
2018-11-20,36.25,36.25
2018-11-21,36.43,36.43
2018-11-22,36.49,36.49
2018-11-23,37.81,37.81
2018-11-26,39.17,39.17
2018-11-27,38.67,38.67
2018-11-28,38.62,38.62
2018-11-29,37.68,37.68
2018-12-03,36.67,36.67
2018-12-04,37.48,37.48
2018-12-05,37.57,37.57
2018-12-06,37.88,37.88
2018-12-07,37.62,37.62
2018-12-10,37.83,37.83
2018-12-11,37.71,37.71
2018-12-12,37.75,37.75
2018-12-13,38.1,38.1
2018-12-14,38.47,38.47
2018-12-17,38.53,38.53
2018-12-18,38.52,38.52
2018-12-19,38.58,38.58
2018-12-20,38.41,38.41
2018-12-21,38.14,38.14
2018-12-26,38.55,38.55
2018-12-27,38.68,38.68
2018-12-28,38.11,38.11
2019-01-02,37.82,37.82
2019-01-03,37.68,37.68
2019-01-04,37.56,37.56
2019-01-07,37.37,37.37
2019-01-08,37.75,37.75
2019-01-09,37.45,37.45
2019-01-10,37.34,37.34
2019-01-11,37.09,37.09
2019-01-14,36.99,36.99
2019-01-15,37.28,37.28
2019-01-16,37.62,37.62
2019-01-17,37.85,37.85
2019-01-18,37.82,37.82
2019-01-21,37.76,37.76
2019-01-22,37.68,37.68
2019-01-23,37.65,37.65
2019-01-24,37.55,37.55
2019-01-25,37.2,37.2
2019-01-28,37.27,37.27
2019-01-29,37.69,37.69
2019-01-30,37.57,37.57
2019-01-31,37.54,37.54
2019-02-01,37.44,37.44
2019-02-04,37.26,37.26
2019-02-05,37.27,37.27
2019-02-06,37.68,37.68
2019-02-07,37.95,37.95
2019-02-08,37.92,37.92
2019-02-11,38.09,38.09
2019-02-12,38.07,38.07
2019-02-13,38.21,38.21
2019-02-14,38.4,38.4
2019-02-15,38.84,38.84
2019-02-18,38.88,38.88
2019-02-19,39.29,39.29
2019-02-20,39.87,39.87
2019-02-21,39.87,39.87
2019-02-22,39.49,39.49
2019-02-25,39.15,39.15
2019-02-26,38.9,38.9
2019-02-27,38.9,38.9
2019-02-28,39.33,39.33
2019-03-01,40.16,40.16
2019-03-06,40.83,40.83
2019-03-07,42.81,42.81
2019-03-08,41.35,41.35
2019-03-11,41.38,41.38
2019-03-12,41.59,41.59
2019-03-13,41.23,41.23
2019-03-14,40.91,40.91
2019-03-15,40.14,40.14
2019-03-18,40.03,40.03
2019-03-19,40.6,40.6
2019-03-20,40.78,40.78
2019-03-21,41.2,41.2
2019-03-22,42.13,42.13
2019-03-25,42.12,42.12
2019-03-26,42.66,42.66
2019-03-27,44.12,44.12
2019-03-28,43.82,43.82
2019-03-29,43.66,43.66
2019-04-01,42.8,42.8
2019-04-03,42.96,42.96
2019-04-04,43.66,43.66
2019-04-05,43.94,43.94
2019-04-08,43.62,43.62
2019-04-09,43.36,43.36
2019-04-10,43.09,43.09
2019-04-11,42.88,42.88
2019-04-12,42.43,42.43
2019-04-15,41.8,41.8
2019-04-16,43.25,43.25
2019-04-17,42.38,42.38
2019-04-22,42.64,42.64
2019-04-23,42.49,42.49
2019-04-24,44.43,44.43
2019-04-25,44.89,44.89
2019-04-26,46.24,46.24
2019-04-29,44.51,44.51
2019-04-30,44.27,44.27
2019-05-02,44.72,44.72
2019-05-03,44.35,44.35
2019-05-06,44.57,44.57
2019-05-07,45.53,45.53
2019-05-08,45.23,45.23
2019-05-09,45.08,45.08
2019-05-10,44.88,44.88
2019-05-13,45.17,45.17
2019-05-14,44.96,44.96
2019-05-15,45.0,45.0
2019-05-16,44.75,44.75
