date,compra,venta
2018-01-02,18.15,18.65
2018-01-03,18.2,18.7
2018-01-04,18.4,18.9
2018-01-05,18.6,19.1
2018-01-08,18.8,19.3
2018-01-09,18.7,19.2
2018-01-10,18.35,18.85
2018-01-11,18.45,18.95
2018-01-12,18.45,18.95
2018-01-15,18.5,19.0
2018-01-16,18.65,19.15
2018-01-17,18.6,19.1
2018-01-18,18.6,19.1
2018-01-19,18.75,19.25
2018-01-22,18.85,19.35
2018-01-23,19.1,19.6
2018-01-24,19.4,19.9
2018-01-25,19.3,19.8
2018-01-26,19.3,19.8
2018-01-29,19.3,19.8
2018-01-30,19.35,19.85
2018-01-31,19.4,19.9
2018-02-01,19.15,19.65
2018-02-02,19.25,19.75
2018-02-05,19.25,19.75
2018-02-06,19.35,19.85
2018-02-07,19.4,19.9
2018-02-08,19.7,20.2
2018-02-09,19.75,20.25
2018-02-14,19.65,20.15
2018-02-15,19.45,19.95
2018-02-16,19.5,20.0
2018-02-19,19.65,20.15
2018-02-20,19.6,20.1
2018-02-21,19.65,20.15
2018-02-22,19.7,20.2
2018-02-23,19.7,20.2
2018-02-26,19.95,20.45
2018-02-27,19.95,20.45
2018-02-28,19.85,20.35
2018-03-01,19.9,20.4
2018-03-02,20.0,20.5
2018-03-05,19.95,20.45
2018-03-06,20.1,20.6
2018-03-07,20.15,20.65
2018-03-08,20.15,20.65
2018-03-09,20.0,20.5
2018-03-12,19.95,20.45
2018-03-13,19.95,20.45
2018-03-14,19.95,20.45
2018-03-15,20.1,20.6
2018-03-16,19.95,20.45
2018-03-19,19.95,20.45
2018-03-20,20.0,20.5
2018-03-21,20.05,20.55
2018-03-22,20.0,20.5
2018-03-23,19.95,20.45
2018-03-26,19.95,20.45
2018-03-27,19.95,20.45
2018-03-28,19.9,20.4
2018-04-03,19.9,20.4
2018-04-04,19.95,20.45
2018-04-05,19.95,20.45
2018-04-06,19.95,20.45
2018-04-09,19.95,20.45
2018-04-10,19.95,20.45
2018-04-11,19.9,20.4
2018-04-12,19.95,20.45
2018-04-13,19.95,20.45
2018-04-16,19.95,20.45
2018-04-17,19.95,20.45
2018-04-18,19.95,20.45
2018-04-19,19.9,20.4
2018-04-20,19.95,20.45
2018-04-23,20.0,20.5
2018-04-24,20.0,20.5
2018-04-25,20.0,20.5
2018-04-26,20.3,20.8
2018-04-27,20.3,20.8
2018-05-02,20.95,21.45
2018-05-03,22.7,23.3
2018-05-04,21.4,22.2
2018-05-07,21.5,22.3
2018-05-08,22.0,22.8
2018-05-09,22.3,23.1
2018-05-10,22.3,23.1
2018-05-11,22.7,23.7
2018-05-14,24.3,25.3
2018-05-15,23.5,24.5
2018-05-16,23.8,24.8
2018-05-17,23.8,24.8
2018-05-18,23.9,24.9
2018-05-21,23.9,24.9
2018-05-22,23.8,24.8
2018-05-23,23.9,24.9
2018-05-24,24.1,25.1
2018-05-28,24.2,25.2
2018-05-29,24.4,25.4
2018-05-30,24.4,25.4
2018-05-31,24.4,25.4
2018-06-01,24.4,25.4
2018-06-04,24.4,25.4
2018-06-05,24.4,25.4
2018-06-06,24.4,25.4
2018-06-07,24.4,25.4
2018-06-08,24.8,25.8
2018-06-11,25.5,26.5
2018-06-12,25.3,26.3
2018-06-13,25.5,26.5
2018-06-14,27.2,28.2
2018-06-15,27.8,28.8
2018-06-18,27.1,28.1
2018-06-19,27.2,28.2
