date,value
02-01-2018,289469
03-01-2018,273178
04-01-2018,256705
05-01-2018,250086
08-01-2018,236693
09-01-2018,228593
10-01-2018,238180
11-01-2018,245318
12-01-2018,240306
15-01-2018,230510
16-01-2018,226264
17-01-2018,278646
18-01-2018,262114
19-01-2018,255199
22-01-2018,254215
23-01-2018,237933
24-01-2018,229920
25-01-2018,261250
26-01-2018,251236
29-01-2018,238410
30-01-2018,237150
31-01-2018,200835
01-02-2018,260242
02-02-2018,259039
05-02-2018,265281
06-02-2018,253489
07-02-2018,291861
08-02-2018,276460
09-02-2018,286335
14-02-2018,244804
15-02-2018,240196
16-02-2018,214851
19-02-2018,208524
20-02-2018,195723
21-02-2018,287308
22-02-2018,257251
23-02-2018,264734
26-02-2018,250484
27-02-2018,242631
28-02-2018,239746
01-03-2018,304830
02-03-2018,317290
05-03-2018,276958
06-03-2018,272095
07-03-2018,274905
08-03-2018,276522
09-03-2018,274024
12-03-2018,298286
13-03-2018,297381
14-03-2018,315781
15-03-2018,264436
16-03-2018,228096
19-03-2018,229349
20-03-2018,211599
21-03-2018,246783
22-03-2018,247897
23-03-2018,256756
26-03-2018,256255
27-03-2018,236834
28-03-2018,240345
03-04-2018,324335
04-04-2018,325062
05-04-2018,295317
06-04-2018,279134
09-04-2018,263955
10-04-2018,260905
11-04-2018,275090
12-04-2018,269472
13-04-2018,260801
16-04-2018,232756
17-04-2018,244268
18-04-2018,310497
19-04-2018,288992
20-04-2018,276594
23-04-2018,279928
24-04-2018,265290
25-04-2018,253887
26-04-2018,268188
27-04-2018,256164
02-05-2018,310551
03-05-2018,300819
04-05-2018,304015
07-05-2018,274825
08-05-2018,255451
09-05-2018,256776
10-05-2018,265411
11-05-2018,287615
14-05-2018,312580
15-05-2018,314745
16-05-2018,346163
17-05-2018,334561
18-05-2018,310000
21-05-2018,292740
22-05-2018,265390
23-05-2018,260060
24-05-2018,240231
28-05-2018,261386
29-05-2018,250751
30-05-2018,277011
31-05-2018,289419
01-06-2018,306358
04-06-2018,319351
05-06-2018,323047
06-06-2018,322972
07-06-2018,322053
08-06-2018,284945
11-06-2018,287381
12-06-2018,291359
13-06-2018,290904
14-06-2018,300925
15-06-2018,309289
18-06-2018,300653
19-06-2018,292134
21-06-2018,474909
22-06-2018,403256
25-06-2018,405502
26-06-2018,338404
27-06-2018,300550
28-06-2018,279916
29-06-2018,288179
02-07-2018,376941
03-07-2018,328241
04-07-2018,338503
05-07-2018,375502
06-07-2018,334445
10-07-2018,315191
11-07-2018,302865
12-07-2018,289086
13-07-2018,304529
16-07-2018,284200
17-07-2018,288042
18-07-2018,442594
19-07-2018,422579
20-07-2018,377796
23-07-2018,380844
24-07-2018,353967
25-07-2018,331495
26-07-2018,353632
27-07-2018,335495
30-07-2018,323172
31-07-2018,303730
01-08-2018,354238
02-08-2018,370024
03-08-2018,387710
06-08-2018,392732
07-08-2018,392800
08-08-2018,391809
09-08-2018,382803
10-08-2018,382696
13-08-2018,383435
14-08-2018,359117
15-08-2018,543343
16-08-2018,514231
17-08-2018,467637
21-08-2018,471418
22-08-2018,484912
23-08-2018,483345
24-08-2018,473452
27-08-2018,444351
28-08-2018,449206
29-08-2018,486177
30-08-2018,468981
31-08-2018,447419
03-09-2018,472712
04-09-2018,474045
05-09-2018,491854
06-09-2018,536718
07-09-2018,563468
10-09-2018,548332
11-09-2018,543331
12-09-2018,533205
13-09-2018,535825
14-09-2018,535403
17-09-2018,493329
18-09-2018,475453
19-09-2018,609759
20-09-2018,542972
21-09-2018,473704
24-09-2018,465831
25-09-2018,510728
26-09-2018,512589
27-09-2018,523268
28-09-2018,496336
01-10-2018,532512
02-10-2018,485422
03-10-2018,493931
04-10-2018,503702
05-10-2018,526584
08-10-2018,513345
09-10-2018,503739
10-10-2018,506103
11-10-2018,505181
12-10-2018,487971
16-10-2018,499345
17-10-2018,569545
18-10-2018,510895
19-10-2018,477347
22-10-2018,474378
23-10-2018,487109
24-10-2018,526443
25-10-2018,523864
26-10-2018,535027
29-10-2018,509217
30-10-2018,493185
31-10-2018,415992
01-11-2018,504721
02-11-2018,491505
05-11-2018,433219
07-11-2018,533166
08-11-2018,532950
09-11-2018,533471
12-11-2018,507213
13-11-2018,449993
14-11-2018,443915
15-11-2018,438999
16-11-2018,450400
20-11-2018,470560
21-11-2018,563399
22-11-2018,582722
23-11-2018,651627
26-11-2018,651912
27-11-2018,609032
28-11-2018,583263
29-11-2018,504439
03-12-2018,509445
04-12-2018,480380
05-12-2018,449685
06-12-2018,454912
07-12-2018,477063
10-12-2018,514190
11-12-2018,535280
12-12-2018,556418
13-12-2018,580576
14-12-2018,611698
17-12-2018,607199
18-12-2018,581051
19-12-2018,592299
20-12-2018,569689
21-12-2018,565702
26-12-2018,553366
27-12-2018,530134
28-12-2018,549441
02-01-2019,525096
