date,riesgo_pais
2018-01-02,347.0
2018-01-03,355.0
2018-01-04,356.0
2018-01-05,362.0
2018-01-08,365.0
2018-01-09,361.0
2018-01-10,364.0
2018-01-11,363.0
2018-01-12,364.0
2018-01-15,364.0
2018-01-16,362.0
2018-01-17,360.0
2018-01-18,359.0
2018-01-19,363.0
2018-01-22,365.0
2018-01-23,367.0
2018-01-24,369.0
2018-01-25,373.0
2018-01-26,372.0
2018-01-29,376.0
2018-01-30,379.0
2018-01-31,374.0
2018-02-01,373.0
2018-02-02,376.0
2018-02-05,396.0
2018-02-06,394.0
2018-02-07,383.0
2018-02-08,405.0
2018-02-09,426.0
2018-02-12,413.0
2018-02-13,423.0
2018-02-14,415.0
2018-02-15,397.0
2018-02-16,391.0
2018-02-20,397.0
2018-02-21,393.0
2018-02-22,402.0
2018-02-23,404.0
2018-02-26,397.0
2018-02-27,397.0
2018-02-28,404.0
2018-03-01,417.0
2018-03-02,412.0
2018-03-05,410.0
2018-03-06,408.0
2018-03-07,414.0
2018-03-08,407.0
2018-03-09,388.0
2018-03-12,392.0
2018-03-13,399.0
2018-03-14,403.0
2018-03-15,412.0
2018-03-16,409.0
2018-03-19,420.0
2018-03-20,411.0
2018-03-21,409.0
2018-03-22,419.0
2018-03-23,425.0
2018-03-26,418.0
2018-03-27,420.0
2018-03-28,418.0
2018-03-29,420.0
2018-04-02,425.0
2018-04-03,417.0
2018-04-04,417.0
2018-04-05,408.0
2018-04-06,419.0
2018-04-09,415.0
2018-04-10,408.0
2018-04-11,406.0
2018-04-12,397.0
2018-04-13,398.0
2018-04-16,401.0
2018-04-17,401.0
2018-04-18,398.0
2018-04-19,399.0
2018-04-20,400.0
2018-04-23,401.0
2018-04-24,403.0
2018-04-25,402.0
2018-04-26,418.0
2018-04-27,419.0
2018-04-30,430.0
2018-05-01,431.0
2018-05-02,443.0
2018-05-03,470.0
2018-05-04,454.0
2018-05-07,471.0
2018-05-08,489.0
2018-05-09,491.0
2018-05-10,469.0
2018-05-11,480.0
