ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
AGRO;4.761876;62.7;2024-07-05;2024-07-08
ALUA;6.740212;1041.5;2024-07-05;2024-07-08
BBAR;1.799086;3819.85;2024-07-05;2024-07-08
BMA;2.154616;7195.6;2024-07-05;2024-07-08
BYMA;22.362624;359.5;2024-07-05;2024-07-08
CEPU;11.944326;1260.8;2024-07-05;2024-07-08
COME;27.382664;222.1;2024-07-05;2024-07-08
CRES;3.148542;1141.15;2024-07-05;2024-07-08
EDN;3.614549;1094.15;2024-07-05;2024-07-08
GGAL;10.477801;3976.4;2024-07-05;2024-07-08
IRSA;2.579619;1203.85;2024-07-05;2024-07-08
LOMA;2.451606;1879.7;2024-07-05;2024-07-08
PAMP;8.978953;2572.65;2024-07-05;2024-07-08
SUPV;2.682616;1763.35;2024-07-05;2024-07-08
TECO2;2.220902;1945.75;2024-07-05;2024-07-08
TGNO4;0.771476;3100.5;2024-07-05;2024-07-08
TGSU2;3.051398;5088.55;2024-07-05;2024-07-08
TRAN;1.848428;1887;2024-07-05;2024-07-08
TXAR;14.841957;1057.5;2024-07-05;2024-07-08
YPFD;1.584006;28577.3;2024-07-05;2024-07-08
