Especie;Monto;Fecha de Ajuste;tipo
TS;4,68845;15/11/2018;EF
TGSU2;2,0067645;17/9/2018;EF
APBR;0,87;21/11/2018;EF
ALUA;1,03;23/11/2018;EF
TRAN;3,3494503;19/12/2018;EF
YPFD;3,051;20/12/2018;EF
TXAR;0,67284;12/4/2019;EF
BYMA;5;12/4/2019;EF
TGNO4;5,414;15/4/2019;EF
TGSU2;9,2006978;16/4/2019;EF
VALO;0,6;29/4/2019;EF
GGAL;1,4017729;6/5/2019;EF
BMA;10;9/5/2019;EF
SUPV;0,6634228;10/5/2019;EF
FRAN;3,9287719;13/5/2019;EF
TRAN;7,4211704;13/5/2019;EF
APBR;0,5527764;15/5/2019;EF
TS;12,605124;17/5/2019;EF
COME;0,1;21/5/2019;EF
APBR;1,06;2/7/2019;EF
YPFD;5,8478;4/7/2019;EF
ALUA;0,76;5/7/2019;EF
COME;1,2970588;2/8/2019;EF
APBR;2,6;12/8/2019;EF
TECO2;3,2712759;13/8/2019;EF
TGNO4;1,4765327;10/10/2019;EF
TECO2;8,1118992;15/10/2019;EF
ALUA;0,53;31/10/2019;EF
TGSU2;0,03848739;8/11/2019;AC
TGSU2;0,31214175;8/11/2019;EF
CRES;0,02660982;8/11/2019;AC
CEPU;0,71;28/11/2019;EF
BYMA;3,679839;19/3/2020;EF
BYMA;0,023021;19/3/2020;AC
SUPV;0,932733;26/5/2020;EF
COME;0,1;12/6/2020;EF
COME;0,238413123;21/8/2020;AC
GGAL;1,191507;30/9/2020;EF
LOMA;4,026667;8/10/2020;EF
TECO2;11,4796;13/11/2020;BONOS
MIRG;2,777778;18/1/2021;EF
BYMA;10,823086;28/4/2021;EF
BYMA;0,005543545;28/4/2021;AC
GGAL;1,017161487;5/5/2021;EF
MIRG;22,22222;7/5/2021;EF
SUPV;0,843334057;11/5/2021;EF
COME;0,11;21/5/2021;EF
TECO2;16,4837;11/8/2021;BONOS
CVH;82,4898;3/9/2021;EF
MIRG;10;6/9/2021;EF
MIRG;11.111.111;7/10/2021;EF
ALUA;1;1/11/2021;EF
MIRG;12,22222222;8/11/2021;EF
ALUA;0,07125;28/12/2021;EF
LOMA;15,73183;21/4/2022;EF
BYMA;41,602;22/4/2022;EF
COME;0,25;3/5/2022;EF
GGAL;7,459184237;4/5/2022;EF
MIRG;27,77777778;6/5/2022;EF
SUPV;0,641703883;12/5/2022;EF
BMA;15,44;2/6/2022;EF
TECO2;14,8004;2/6/2022;EF
BMA;15,44;2/6/2022;EF
TECO2;14,8004;2/6/2022;EF
VALO;0,627793521;6/6/2022;EF
MIRG;27,77777778;10/6/2022;EF
BBAR;12,5339953;1/7/2022;EF
BMA;2,574161997;1/7/2022;EF
VALO;0,104632254;4/7/2022;EF
BYMA;9;6/7/2022;AC
LOMA;38,796923;7/7/2022;EF
MIRG;27,77777778;8/7/2022;EF
ALUA;3,21;28/7/2022;EF
BMA;2,574161997;28/7/2022;EF
BBAR;1,7906;29/7/2022;EF
VALO;0,104632254;1/8/2022;EF
TXAR;8,23;4/8/2022;EF
BMA;2,574161997;1/9/2022;EF
BBAR;1,790570757;2/9/2022;EF
VALO;0,104632254;2/9/2022;EF
BBAR;1,790570757;2/9/2022;EF
VALO;0,104632254;2/9/2022;EF
BBAR;1,790570757;2/9/2022;EF
VALO;0,104632254;2/9/2022;EF
GGAL;2,712430632;7/9/2022;EF
BMA;2,574161997;29/9/2022;EF
