fecha_divisor;divisor
02/04/2018;39918014
09/04/2018;39898510,6848631
12/04/2018;39867483,1068895
24/04/2018;39863505,9365972
26/04/2018;39842428,5419336
07/05/2018;39725749,4539819
11/05/2018;39640687,5031169
21/05/2018;39600731,4964996
23/05/2018;39592339,3176328
02/07/2018;44299579,2387107
13/07/2018;44271281,8893309
14/08/2018;44255031,318262
17/08/2018;44216570,3811493
18/09/2018;44175072,8268213
01/10/2018;48774800,29914
16/11/2018;48756488,2695768
22/11/2018;48730167,292228
26/11/2018;48677825,5368963
20/12/2018;48631782,279641
21/12/2018;48647117,076528
02/01/2019;48900828,761429
01/04/2019;54639659,71769
15/04/2019;54534938,2371867
16/04/2019;54466422,3668293
17/04/2019;54243660,6516973
30/04/2019;54207856,4648847
07/05/2019;54105870,557371
10/05/2019;53849895,837615
13/05/2019;53837597,1011883
14/05/2019;53683668,080532
16/05/2019;53668068,5238988
20/05/2019;53592638,877953
22/05/2019;53583479,117611
01/07/2019;47657111,891245
03/07/2019;47636983,357533
05/07/2019;47595723,765507
10/07/2019;47564785,613941
05/08/2019;47467373,852431
13/08/2019;47401369,292934
14/08/2019;47375937,868116
01/10/2019;15782511,681901
11/10/2019;15778880,143038
16/10/2019;15756456,847009
01/11/2019;15745601,28295
11/11/2019;15706839,801868
29/11/2019;15679342,2697092
02/01/2020;16540166,232933
20/03/2020;16509981,7232923
02/04/2020;16813110,344507
27/05/2020;16806310,761812
16/06/2020;16800429,6067791
30/06/2020;16615883,322559
24/08/2020;16581968,614896
01/10/2020;16549235,786289
09/10/2020;16523041,211525
16/11/2020;16494000,867351
04/01/2021;16555124,734671
19/01/2021;16554197,172814
29/04/2021;16533262,484773
03/05/2021;14605015,798587
06/05/2021;14583370,949576
10/05/2021;14579940,585998
12/05/2021;14575659,733596
26/05/2021;14570347,428315
12/08/2021;14516262,921901
01/09/2021;14351486,984399
06/09/2021;14318595,940923
07/09/2021;14317590,951663
12/10/2021;14316511,072746
02/11/2021;14308839,640738
09/11/2021;14307870,799977
29/12/2021;14307285,84858
03/01/2021;14434929,072068
22/04/2022;14391341,8408
25/04/2022;14377797,548857
02/05/2022;14470108,543563
04/05/2022;14462093,206184
05/05/2022;14370398,915801
09/05/2022;14367772,664211
13/05/2022;14365734,011408
03/06/2022;14281052,612422
07/06/2022;14275749,295788
13/06/2022;14273208,383614
01/07/2022;14236425,775169
04/07/2022;14235523,965701
06/07/2022;13882477,462073
07/07/2022;13784068,747727
11/07/2022;13781915,61975
29/07/2022;13756573,398499
01/08/2022;13753821,865386
02/08/2022;13753140,583444
05/08/2022;13674572,208051
01/09/2022;13912737,067909
02/09/2022;13905824,981353
05/09/2022;13902888,761468
08/09/2022;13882838,239263
30/09/2022;13876058,693296
