fecha_precio;valor
2018-04-03;35286,86
2018-04-04;35322,74
2018-04-05;35826,51
2018-04-06;35591,17
2018-04-09;35477,94
2018-04-10;35963,52
2018-04-11;35806,11
2018-04-12;35947,57
2018-04-13;35497,40
2018-04-16;34773,19
2018-04-17;35396,66
2018-04-18;35519,84
2018-04-19;35321,57
2018-04-20;35091,75
2018-04-23;35057,33
2018-04-24;34828,13
2018-04-25;33979,70
2018-04-26;33872,42
2018-04-27;34301,25
2018-05-02;33979,31
2018-05-03;34271,21
2018-05-04;32964,18
2018-05-07;32121,42
2018-05-08;31027,17
2018-05-09;32819,56
2018-05-10;34979,99
2018-05-11;35452,66
2018-05-14;36106,39
2018-05-15;35785,02
2018-05-16;36739,10
2018-05-17;36868,26
2018-05-18;36874,07
2018-05-21;36537,40
2018-05-22;35926,55
2018-05-23;35187,26
2018-05-24;34357,15
2018-05-28;32966,13
2018-05-29;33003,12
2018-05-30;33057,01
2018-05-31;33164,38
2018-06-01;32841,03
2018-06-04;33489,45
2018-06-05;34732,73
2018-06-06;34452,09
2018-06-07;34259,57
2018-06-08;35620,00
2018-06-11;36217,53
2018-06-12;35097,47
2018-06-13;34731,50
2018-06-14;34853,81
2018-06-15;34804,53
2018-06-18;32003,52
2018-06-19;33679,41
2018-06-21;35057,50
2018-06-22;34249,36
2018-06-25;32594,79
2018-06-26;32188,54
2018-06-27;29780,71
2018-06-28;31029,82
2018-06-29;30391,71
2018-07-02;29733,79
2018-07-03;31545,15
2018-07-04;32189,10
2018-07-05;32290,20
2018-07-06;32009,13
2018-07-10;32051,55
2018-07-11;31681,68
2018-07-12;31227,72
2018-07-13;30979,21
2018-07-16;30706,58
2018-07-17;31374,88
2018-07-18;31638,32
2018-07-19;31372,36
2018-07-20;32464,56
2018-07-23;32514,32
2018-07-24;33065,61
2018-07-25;34004,51
2018-07-26;33758,32
2018-07-27;33915,65
2018-07-30;33688,33
2018-07-31;33745,55
2018-08-01;33884,83
2018-08-02;33265,18
2018-08-03;33783,46
2018-08-06;33437,76
2018-08-07;32257,78
2018-08-08;31217,47
2018-08-09;31587,45
2018-08-10;31619,38
2018-08-13;30906,71
2018-08-14;31166,63
2018-08-15;31486,16
2018-08-16;31307,31
2018-08-17;30500,77
2018-08-21;30215,63
2018-08-22;31206,72
2018-08-23;30723,32
2018-08-24;29443,81
2018-08-27;30005,94
2018-08-28;29688,71
2018-08-29;30511,79
2018-08-30;32465,31
2018-08-31;35145,04
2018-09-03;34691,05
2018-09-04;33283,40
2018-09-05;34591,26
2018-09-06;35675,39
2018-09-07;35365,60
2018-09-10;34976,80
2018-09-11;34561,33
2018-09-12;35387,42
2018-09-13;35827,73
2018-09-14;36053,90
2018-09-17;37226,45
2018-09-18;38371,95
2018-09-19;39291,28
2018-09-20;40741,33
2018-09-21;40574,63
2018-09-24;39287,67
2018-09-25;40487,37
2018-09-26;40450,58
2018-09-27;40483,88
2018-09-28;40490,81
2018-10-01;39202,46
2018-10-02;39364,45
2018-10-03;38869,88
2018-10-04;37516,40
2018-10-05;36575,32
2018-10-08;37400,85
2018-10-09;36504,67
2018-10-10;35162,32
2018-10-11;34007,70
2018-10-12;36237,11
2018-10-16;36070,67
2018-10-17;35349,53
2018-10-18;34876,50
2018-10-19;35260,31
2018-10-22;35246,69
2018-10-23;34878,55
2018-10-24;34563,22
2018-10-25;35892,22
2018-10-26;36162,47
2018-10-29;35542,19
2018-10-30;36246,36
2018-10-31;36287,99
2018-11-01;38306,13
2018-11-02;38438,75
2018-11-05;38561,15
2018-11-06;37893,13
2018-11-07;38191,54
2018-11-08;37400,04
2018-11-09;36510,11
2018-11-12;36010,14
2018-11-13;34745,95
2018-11-14;35739,77
2018-11-15;37182,38
2018-11-16;37905,28
2018-11-20;36013,26
2018-11-21;36749,10
2018-11-22;36772,13
2018-11-23;37240,64
2018-11-26;37935,71
2018-11-27;37795,16
2018-11-28;37994,03
2018-11-29;38233,14
2018-12-03;38715,33
2018-12-04;38835,88
2018-12-05;38571,77
2018-12-06;38665,77
2018-12-07;38038,09
2018-12-10;37014,97
