date,open,high,low,close,volume,ticker
2018-01-02,15.3,16.0,15.0,15.8,1617899.0,ALUA
2018-01-03,15.9,16.4,15.4,16.35,1572324.0,ALUA
2018-01-04,16.4,16.5,15.65,16.4,1346372.0,ALUA
2018-01-05,16.15,16.4,15.9,16.15,1177073.0,ALUA
2018-01-08,16.15,16.15,15.5,15.9,875677.0,ALUA
2018-01-09,15.9,16.15,15.55,15.75,613214.0,ALUA
2018-01-10,15.8,15.8,15.2,15.4,424104.0,ALUA
2018-01-11,15.4,15.6,15.15,15.4,446604.0,ALUA
2018-01-12,15.25,16.3,15.25,15.95,1299041.0,ALUA
2018-01-15,15.55,16.6,15.55,16.4,1950275.0,ALUA
2018-01-16,16.2,16.75,15.9,16.75,882011.0,ALUA
2018-01-17,16.4,16.75,16.2,16.55,906443.0,ALUA
2018-01-18,16.55,17.15,16.15,16.9,1578847.0,ALUA
2018-01-19,17.1,17.3,16.45,16.65,1422015.0,ALUA
2018-01-22,16.6,16.9,16.5,16.65,280790.0,ALUA
2018-01-23,16.75,17.0,16.2,16.8,792780.0,ALUA
2018-01-24,16.9,17.8,16.8,17.2,1517237.0,ALUA
2018-01-25,17.45,17.9,17.05,17.2,1006562.0,ALUA
2018-01-26,17.05,17.5,16.9,17.35,674267.0,ALUA
2018-01-29,17.3,17.4,17.0,17.1,1330062.0,ALUA
2018-01-30,17.3,17.3,16.4,17.2,1042337.0,ALUA
2018-01-31,16.95,17.15,16.75,17.0,1005392.0,ALUA
2018-02-01,17.0,17.15,16.4,16.7,533907.0,ALUA
2018-02-02,16.5,16.65,15.7,15.9,669653.0,ALUA
2018-02-05,15.7,15.7,14.85,15.1,604115.0,ALUA
2018-02-06,14.8,15.4,14.55,15.4,761966.0,ALUA
2018-02-07,15.45,16.0,15.1,15.95,1083627.0,ALUA
2018-02-08,16.0,16.5,15.2,15.9,591113.0,ALUA
2018-02-09,15.9,15.9,14.95,15.3,484388.0,ALUA
2018-02-14,15.4,15.65,15.1,15.15,338312.0,ALUA
2018-02-15,15.4,15.55,14.9,14.85,566891.0,ALUA
2018-02-16,14.9,15.25,14.9,15.15,480472.0,ALUA
2018-02-19,15.15,15.15,14.6,14.95,620188.0,ALUA
2018-02-20,14.95,15.1,14.3,14.75,951147.0,ALUA
2018-02-21,15.0,15.1,14.65,14.9,621090.0,ALUA
2018-02-22,14.9,15.0,14.3,14.7,457804.0,ALUA
2018-02-23,14.9,14.9,14.4,14.85,494859.0,ALUA
2018-02-26,14.8,14.95,14.6,14.7,306146.0,ALUA
2018-02-27,14.8,14.9,14.1,14.3,1167460.0,ALUA
2018-02-28,14.3,14.65,14.05,14.4,834115.0,ALUA
2018-03-01,14.3,14.65,13.8,14.15,779164.0,ALUA
2018-03-02,13.5,13.95,13.45,13.55,962933.0,ALUA
2018-03-05,13.4,13.8,13.4,13.8,727894.0,ALUA
2018-03-06,14.0,14.75,13.8,14.7,1130070.0,ALUA
2018-03-07,14.4,15.0,14.25,14.7,928171.0,ALUA
2018-03-08,14.7,15.3,14.5,14.7,543721.0,ALUA
2018-03-09,14.6,14.9,14.4,14.7,486071.0,ALUA
2018-03-12,14.7,15.0,14.5,14.8,371446.0,ALUA
2018-03-13,15.0,15.15,14.4,14.9,325772.0,ALUA
2018-03-14,14.9,14.9,14.4,14.7,771413.0,ALUA
2018-03-15,14.7,15.15,13.9,14.0,700082.0,ALUA
2018-03-16,14.1,14.3,13.7,13.85,361975.0,ALUA
2018-03-19,13.85,13.85,13.5,13.75,311303.0,ALUA
2018-03-20,13.75,14.0,13.3,13.8,506974.0,ALUA
2018-03-21,13.85,14.75,13.5,14.3,1425105.0,ALUA
2018-03-22,14.4,14.95,14.3,14.55,899603.0,ALUA
2018-03-23,14.55,14.9,14.0,14.1,427385.0,ALUA
2018-03-26,14.2,14.6,13.45,13.6,1303429.0,ALUA
2018-03-27,13.85,13.95,13.1,13.2,762862.0,ALUA
2018-03-28,13.3,13.7,13.1,13.6,741231.0,ALUA
2018-04-03,13.6,13.9,13.5,13.7,282925.0,ALUA
2018-04-04,13.65,13.9,13.5,13.65,232446.0,ALUA
2018-04-05,13.65,14.3,13.55,14.25,681008.0,ALUA
2018-04-06,14.25,14.3,13.7,13.8,318607.0,ALUA
2018-04-09,13.9,14.45,13.9,14.35,855706.0,ALUA
2018-04-10,14.5,14.85,14.3,14.8,1009205.0,ALUA
2018-04-11,14.9,15.0,14.5,14.65,292958.0,ALUA
2018-04-12,14.55,14.7,14.5,14.55,163374.0,ALUA
2018-04-13,14.5,14.7,14.3,14.5,194148.0,ALUA
2018-04-16,14.5,14.9,14.15,14.8,941844.0,ALUA
2018-04-17,14.8,15.25,14.8,15.05,1891427.0,ALUA
2018-04-18,15.2,15.45,15.1,15.45,1269112.0,ALUA
2018-04-19,15.5,15.75,15.1,15.7,1699554.0,ALUA
2018-04-20,15.75,15.8,15.5,15.5,885941.0,ALUA
2018-04-23,15.35,15.6,15.05,15.5,738820.0,ALUA
2018-04-24,15.3,15.65,14.4,14.8,1014680.0,ALUA
2018-04-25,14.8,14.8,14.3,14.75,668770.0,ALUA
2018-04-26,14.8,15.0,14.1,14.7,831322.0,ALUA
2018-04-27,14.85,15.2,14.6,15.05,655046.0,ALUA
2018-05-02,15.45,15.8,14.5,15.35,1366162.0,ALUA
2018-05-03,15.5,15.6,15.05,15.35,1496895.0,ALUA
2018-05-04,15.4,15.6,14.1,15.05,898656.0,ALUA
2018-05-07,15.05,15.4,14.0,14.15,863632.0,ALUA
2018-05-08,13.75,14.4,13.2,13.85,1859420.0,ALUA
2018-05-09,13.9,15.4,13.9,15.35,1523763.0,ALUA
2018-05-10,15.45,16.45,15.45,16.25,2151099.0,ALUA
2018-05-11,16.3,16.5,15.2,16.35,1035772.0,ALUA
2018-05-14,16.5,17.8,16.4,17.75,2182307.0,ALUA
2018-05-15,17.75,18.25,17.4,18.1,1915880.0,ALUA
2018-05-16,18.0,18.3,17.2,17.3,1536835.0,ALUA
2018-05-17,17.35,17.9,17.25,17.6,557419.0,ALUA
2018-05-18,17.6,17.85,17.4,17.8,297390.0,ALUA
2018-05-21,17.8,17.8,17.25,17.45,361241.0,ALUA
2018-05-22,17.85,17.95,17.3,17.35,637046.0,ALUA
2018-05-23,17.75,17.75,16.6,17.2,681809.0,ALUA
2018-05-24,17.0,17.15,16.55,16.85,272766.0,ALUA
2018-05-28,16.8,17.1,15.75,16.8,610335.0,ALUA
2018-05-29,16.8,16.8,15.8,16.15,498322.0,ALUA
2018-05-30,16.4,16.8,15.8,16.65,1481449.0,ALUA
2018-05-31,16.9,17.05,15.75,16.45,881286.0,ALUA
2018-06-01,16.5,17.0,15.3,15.85,700549.0,ALUA
2018-06-04,15.8,16.25,15.35,15.5,715056.0,ALUA
2018-06-05,15.55,16.3,15.55,16.3,830322.0,ALUA
2018-06-06,16.3,17.2,16.3,17.0,746764.0,ALUA
2018-06-07,17.4,17.4,16.5,16.9,328651.0,ALUA
2018-06-08,17.4,17.85,17.2,17.85,1065868.0,ALUA
2018-06-11,17.9,18.15,17.7,18.15,693040.0,ALUA
2018-06-12,18.15,18.5,16.95,17.7,619401.0,ALUA
2018-06-13,17.7,18.45,17.15,18.35,849855.0,ALUA
2018-06-14,18.3,19.25,18.3,19.0,1531497.0,ALUA
2018-06-15,19.0,19.1,18.65,19.0,625656.0,ALUA
2018-06-18,18.5,19.0,17.5,17.9,1288442.0,ALUA
2018-06-19,18.0,19.2,18.0,19.05,1974413.0,ALUA
2018-06-21,19.25,20.85,19.25,20.75,1764101.0,ALUA
2018-06-22,20.9,21.3,20.7,21.2,1208495.0,ALUA
2018-06-25,21.0,21.25,19.7,19.8,892473.0,ALUA
2018-06-26,20.0,20.35,19.1,19.8,782602.0,ALUA
2018-06-27,19.6,19.8,17.4,18.5,935621.0,ALUA
2018-06-28,18.5,19.3,18.3,19.3,1783245.0,ALUA
2018-06-29,19.55,20.8,19.55,20.65,1954978.0,ALUA
2018-07-02,20.8,21.0,19.8,20.25,660946.0,ALUA
2018-07-03,20.65,21.3,19.7,20.35,1208114.0,ALUA
2018-07-04,21.0,21.0,19.9,20.5,812392.0,ALUA
2018-07-05,20.85,21.2,20.05,21.15,1254382.0,ALUA
2018-07-06,21.0,21.65,20.55,21.65,1336388.0,ALUA
2018-07-10,21.8,22.3,21.25,22.3,1137714.0,ALUA
2018-07-11,22.0,22.4,20.9,21.75,804731.0,ALUA
2018-07-12,21.8,21.85,20.55,21.5,598242.0,ALUA
2018-07-13,21.0,21.7,20.3,21.0,933478.0,ALUA
2018-07-16,21.0,21.2,19.7,19.8,700701.0,ALUA
2018-07-17,20.25,20.3,19.4,20.0,622272.0,ALUA
2018-07-18,20.0,20.7,19.5,19.6,435456.0,ALUA
2018-07-19,19.7,20.15,18.8,18.8,768745.0,ALUA
2018-07-20,18.95,20.2,18.95,20.15,771762.0,ALUA
2018-07-23,20.1,21.0,20.0,21.0,732767.0,ALUA
2018-07-24,21.0,21.7,20.85,21.45,904235.0,ALUA
2018-07-25,21.3,21.75,21.1,21.65,537759.0,ALUA
2018-07-26,21.45,21.8,20.3,20.55,821859.0,ALUA
2018-07-27,20.85,20.85,20.05,20.5,413714.0,ALUA
2018-07-30,20.5,20.5,19.7,20.05,684616.0,ALUA
2018-07-31,19.8,19.9,19.4,19.85,609419.0,ALUA
2018-08-01,19.95,20.4,19.8,20.05,674434.0,ALUA
2018-08-02,20.2,20.35,19.75,20.3,359972.0,ALUA
2018-08-03,20.5,20.8,20.35,20.8,839910.0,ALUA
2018-08-06,20.5,20.95,19.95,20.3,616089.0,ALUA
2018-08-07,20.3,20.3,19.0,19.0,700640.0,ALUA
2018-08-08,19.2,19.2,17.7,17.75,822997.0,ALUA
2018-08-09,17.9,18.8,17.9,18.35,484065.0,ALUA
2018-08-10,18.0,19.45,17.05,19.45,747164.0,ALUA
2018-08-13,19.5,19.95,18.5,19.25,587318.0,ALUA
2018-08-14,19.85,19.95,19.0,19.95,529468.0,ALUA
2018-08-15,19.9,20.8,19.25,20.7,773086.0,ALUA
2018-08-16,20.65,21.0,19.95,20.45,682773.0,ALUA
2018-08-17,20.4,20.55,19.8,20.0,495725.0,ALUA
2018-08-21,19.9,20.7,19.35,20.7,1860120.0,ALUA
2018-08-22,20.7,21.1,20.6,20.95,1163531.0,ALUA
2018-08-23,20.9,21.35,20.65,21.0,922757.0,ALUA
2018-08-24,21.15,21.15,18.7,19.3,929063.0,ALUA
2018-08-27,19.15,20.0,18.6,18.7,386554.0,ALUA
2018-08-28,19.2,19.2,17.4,18.0,1094897.0,ALUA
2018-08-29,18.2,20.0,18.2,19.75,1099302.0,ALUA
2018-08-30,19.8,22.15,19.8,21.35,696970.0,ALUA
2018-08-31,22.0,23.15,21.8,23.05,1524385.0,ALUA
2018-09-03,22.95,23.0,21.15,21.75,1502849.0,ALUA
2018-09-04,21.75,21.9,21.0,21.2,570562.0,ALUA
2018-09-05,21.5,22.3,20.25,20.5,818462.0,ALUA
2018-09-06,21.05,21.05,19.3,19.6,1350829.0,ALUA
2018-09-07,19.9,20.45,19.55,20.25,1227431.0,ALUA
2018-09-10,21.0,21.0,20.3,20.4,547891.0,ALUA
2018-09-11,20.3,20.3,19.8,20.15,449868.0,ALUA
2018-09-12,20.2,20.35,19.8,20.0,565440.0,ALUA
2018-09-13,20.0,20.8,19.9,20.35,475116.0,ALUA
2018-09-14,20.6,21.1,20.4,20.4,360308.0,ALUA
2018-09-17,20.5,21.35,20.05,20.5,963069.0,ALUA
2018-09-18,20.5,21.1,20.4,20.8,1300494.0,ALUA
2018-09-19,20.6,21.0,19.8,20.5,1584332.0,ALUA
2018-09-20,20.0,20.85,19.8,20.0,1429685.0,ALUA
2018-09-21,20.0,20.7,19.8,19.95,1070668.0,ALUA
2018-09-24,20.25,20.35,19.6,20.2,621183.0,ALUA
2018-09-25,20.5,20.7,19.9,20.55,671462.0,ALUA
2018-09-26,20.65,21.0,20.0,20.95,830479.0,ALUA
2018-09-27,21.05,21.65,21.0,21.65,2954368.0,ALUA
2018-09-28,21.8,22.65,21.8,22.65,1602601.0,ALUA
2018-10-01,22.6,23.0,21.25,21.9,667869.0,ALUA
2018-10-02,21.1,21.7,20.55,21.0,613718.0,ALUA
2018-10-03,20.8,22.2,20.5,21.8,2214437.0,ALUA
2018-10-04,22.2,22.5,21.4,21.6,675156.0,ALUA
2018-10-05,21.6,22.0,20.65,21.0,311265.0,ALUA
2018-10-08,20.8,21.5,20.7,20.9,329265.0,ALUA
2018-10-09,21.0,21.4,19.6,20.0,622702.0,ALUA
2018-10-10,20.35,20.35,19.3,19.95,478624.0,ALUA
2018-10-11,19.9,20.0,18.8,18.8,596888.0,ALUA
2018-10-12,19.5,20.0,18.5,19.3,460004.0,ALUA
2018-10-16,19.3,19.55,19.0,19.2,166505.0,ALUA
2018-10-17,19.1,20.6,18.75,18.75,1116761.0,ALUA
2018-10-18,18.8,18.8,18.1,18.4,855060.0,ALUA
2018-10-19,18.45,19.25,18.2,19.0,758043.0,ALUA
2018-10-22,19.15,19.25,18.7,19.0,328821.0,ALUA
2018-10-23,19.0,19.25,18.25,18.7,150335.0,ALUA
2018-10-24,18.7,19.0,17.7,18.75,389009.0,ALUA
2018-10-25,18.75,19.15,18.25,18.55,537722.0,ALUA
2018-10-26,18.6,18.6,18.15,18.15,218084.0,ALUA
2018-10-29,18.1,18.6,17.0,17.7,315876.0,ALUA
2018-10-30,17.2,18.0,17.2,17.95,317631.0,ALUA
2018-10-31,18.1,18.55,17.9,18.5,532124.0,ALUA
2018-11-01,18.45,18.7,18.3,18.4,547562.0,ALUA
2018-11-02,18.45,19.2,18.35,18.6,381273.0,ALUA
2018-11-05,18.4,18.95,18.15,18.6,447791.0,ALUA
2018-11-06,18.1,18.8,18.1,18.65,129009.0,ALUA
2018-11-07,18.65,19.45,18.4,19.1,926002.0,ALUA
2018-11-08,19.4,19.4,18.2,18.7,395749.0,ALUA
2018-11-09,18.5,18.5,18.15,18.2,162223.0,ALUA
2018-11-12,18.4,18.4,17.8,18.05,118880.0,ALUA
2018-11-13,18.0,18.5,17.6,18.05,152169.0,ALUA
2018-11-14,18.1,18.7,17.9,18.0,371138.0,ALUA
2018-11-15,18.2,18.5,17.7,17.9,418862.0,ALUA
2018-11-16,18.35,18.7,17.9,18.65,234746.0,ALUA
2018-11-20,18.95,19.15,18.15,18.4,349958.0,ALUA
2018-11-21,18.6,18.8,18.0,18.1,371694.0,ALUA
2018-11-22,18.15,18.55,18.05,18.5,157669.0,ALUA
2018-11-23,18.55,19.15,18.5,19.15,409476.0,ALUA
2018-11-26,18.85,19.15,18.2,18.8,564638.0,ALUA
2018-11-27,19.05,19.05,18.2,18.55,251390.0,ALUA
2018-11-28,18.6,18.8,18.2,18.6,526407.0,ALUA
2018-11-29,18.5,19.1,18.3,19.05,323633.0,ALUA
2018-12-03,19.05,19.3,18.75,19.0,691037.0,ALUA
2018-12-04,19.2,19.2,18.45,18.7,381538.0,ALUA
2018-12-05,18.4,18.8,18.25,18.5,171588.0,ALUA
2018-12-06,18.25,18.75,18.25,18.6,387993.0,ALUA
2018-12-07,18.1,18.8,17.95,18.25,442335.0,ALUA
2018-12-10,18.1,18.3,17.8,18.3,349180.0,ALUA
2018-12-11,18.5,18.5,17.7,17.9,341559.0,ALUA
2018-12-12,18.0,18.2,17.55,17.8,487452.0,ALUA
2018-12-13,17.75,17.8,17.4,17.75,326429.0,ALUA
2018-12-14,17.7,17.75,17.45,17.6,317237.0,ALUA
2018-12-17,17.5,18.25,17.5,17.9,1237443.0,ALUA
2018-12-18,18.0,18.05,17.3,18.0,537227.0,ALUA
2018-12-19,18.0,18.4,17.9,18.25,799991.0,ALUA
2018-12-20,18.0,18.35,17.5,17.9,425095.0,ALUA
2018-12-21,17.7,18.05,16.5,17.5,364624.0,ALUA
2018-12-26,17.05,17.8,16.85,17.8,259613.0,ALUA
2018-12-27,17.8,18.2,17.25,18.1,152757.0,ALUA
2018-12-28,18.4,18.4,17.0,17.25,324991.0,ALUA
2019-01-02,17.95,17.95,17.0,17.15,262627.0,ALUA
2019-01-03,17.25,17.6,17.2,17.5,100135.0,ALUA
2019-01-04,17.5,17.8,17.35,17.6,508497.0,ALUA
2019-01-07,17.55,18.45,17.55,18.4,548509.0,ALUA
2019-01-08,18.4,18.7,18.0,18.7,877366.0,ALUA
2019-01-09,18.5,19.3,18.5,19.15,514444.0,ALUA
2019-01-10,19.15,19.2,18.7,19.0,653516.0,ALUA
