date,open,high,low,close,volume,ticker
2018-01-02,4.76,4.95,4.64,4.95,4858580.0,COME
2018-01-03,4.97,4.97,4.8,4.9,2263360.0,COME
2018-01-04,4.94,4.95,4.8,4.9,2411440.0,COME
2018-01-05,4.85,4.95,4.8,4.87,1636440.0,COME
2018-01-08,4.8,4.9,4.8,4.85,1693480.0,COME
2018-01-09,4.78,4.91,4.73,4.77,1718510.0,COME
2018-01-10,4.7,4.72,4.63,4.65,2082210.0,COME
2018-01-11,4.65,4.75,4.65,4.72,2496720.0,COME
2018-01-12,4.72,4.85,4.69,4.79,1818490.0,COME
2018-01-15,4.7,4.88,4.7,4.83,3213840.0,COME
2018-01-16,4.83,4.9,4.77,4.81,1833070.0,COME
2018-01-17,4.8,4.85,4.71,4.8,2203500.0,COME
2018-01-18,4.85,5.2,4.74,5.2,10445780.0,COME
2018-01-19,5.24,5.35,5.05,5.13,9061620.0,COME
2018-01-22,5.19,5.19,4.92,5.04,2741170.0,COME
2018-01-23,5.1,5.15,5.03,5.06,4629460.0,COME
2018-01-24,5.09,5.18,5.0,5.16,5248670.0,COME
2018-01-25,5.2,5.44,5.08,5.25,8033070.0,COME
2018-01-26,5.33,5.34,5.16,5.18,3014930.0,COME
2018-01-29,5.19,5.19,4.95,5.12,3185650.0,COME
2018-01-30,5.1,5.1,4.96,4.99,2858970.0,COME
2018-01-31,5.04,5.19,4.92,5.08,2142390.0,COME
2018-02-01,5.1,5.18,5.02,5.05,1886530.0,COME
2018-02-02,5.04,5.04,4.69,4.75,3930690.0,COME
2018-02-05,4.75,4.75,4.5,4.51,6823830.0,COME
2018-02-06,4.37,4.59,4.2,4.49,5162230.0,COME
2018-02-07,4.6,4.6,4.35,4.43,2221940.0,COME
2018-02-08,4.5,4.5,4.32,4.37,2764410.0,COME
2018-02-09,4.31,4.35,4.06,4.25,6505860.0,COME
2018-02-14,4.31,4.42,4.2,4.38,3779050.0,COME
2018-02-15,4.41,4.53,4.37,4.5,4928170.0,COME
