date,open,high,low,close,volume,ticker
2018-01-02,46.8,48.5,46.5,46.75,276139.0,EDN
2018-01-03,47.0,48.5,45.8,46.05,311270.0,EDN
2018-01-04,46.8,48.0,46.8,47.35,251900.0,EDN
2018-01-05,47.4,47.85,46.5,47.5,300661.0,EDN
2018-01-08,47.55,48.45,47.25,48.35,526546.0,EDN
2018-01-09,48.4,49.7,47.7,48.0,354731.0,EDN
2018-01-10,47.95,47.95,47.05,47.95,483335.0,EDN
2018-01-11,48.6,51.25,48.0,49.6,1631300.0,EDN
2018-01-12,51.0,51.6,49.65,50.1,489441.0,EDN
2018-01-15,50.1,53.85,50.1,53.5,316500.0,EDN
2018-01-16,53.5,53.7,51.5,53.2,622193.0,EDN
2018-01-17,54.0,56.0,53.7,54.9,311545.0,EDN
2018-01-18,55.5,56.5,54.9,55.45,440170.0,EDN
2018-01-19,55.5,56.0,52.5,55.85,380295.0,EDN
2018-01-22,56.0,57.5,55.0,57.4,290978.0,EDN
2018-01-23,57.5,58.45,56.05,57.5,264100.0,EDN
2018-01-24,57.65,59.6,57.65,59.5,226751.0,EDN
2018-01-25,59.8,61.0,59.25,61.0,305503.0,EDN
2018-01-26,62.0,62.5,61.0,62.1,217395.0,EDN
2018-01-29,63.0,63.0,59.0,60.05,354312.0,EDN
2018-01-30,60.15,60.5,57.6,58.25,298280.0,EDN
2018-01-31,58.5,61.4,58.5,61.05,387935.0,EDN
2018-02-01,62.0,63.0,58.6,59.65,283832.0,EDN
2018-02-02,59.0,59.2,55.8,56.05,638642.0,EDN
2018-02-05,57.0,57.0,52.2,53.0,580674.0,EDN
2018-02-06,51.0,56.5,50.0,56.0,875005.0,EDN
2018-02-07,57.0,60.1,55.05,56.1,480422.0,EDN
2018-02-08,56.6,57.3,53.5,55.35,259947.0,EDN
2018-02-09,55.3,55.9,51.0,53.5,501105.0,EDN
2018-02-14,55.0,57.5,53.5,56.95,251441.0,EDN
2018-02-15,57.5,59.5,56.45,56.65,284846.0,EDN
2018-02-16,56.2,58.7,56.0,57.0,320454.0,EDN
2018-02-19,57.0,59.5,57.0,58.4,73300.0,EDN
2018-02-20,59.3,59.45,57.0,57.05,197310.0,EDN
2018-02-21,58.0,58.75,57.1,58.6,183411.0,EDN
2018-02-22,56.0,58.8,56.0,58.2,131977.0,EDN
2018-02-23,58.6,59.25,57.05,57.3,287396.0,EDN
2018-02-26,58.05,58.95,56.15,57.7,260073.0,EDN
2018-02-27,58.4,58.4,56.65,57.4,388734.0,EDN
2018-02-28,57.5,58.0,55.5,57.95,612160.0,EDN
2018-03-01,57.95,59.35,56.0,57.1,579136.0,EDN
2018-03-02,55.8,56.5,54.3,55.55,398632.0,EDN
2018-03-05,55.5,56.35,54.2,55.1,275802.0,EDN
2018-03-06,55.35,58.0,54.1,56.85,313211.0,EDN
2018-03-07,56.8,58.0,56.0,57.0,154753.0,EDN
2018-03-08,57.9,59.0,57.2,58.75,162029.0,EDN
2018-03-09,58.9,61.25,58.9,60.2,246876.0,EDN
2018-03-12,61.75,61.75,59.8,60.15,329933.0,EDN
2018-03-13,60.05,60.95,60.05,60.6,163281.0,EDN
2018-03-14,60.5,60.9,59.55,59.75,168048.0,EDN
2018-03-15,60.5,60.5,57.9,59.85,405785.0,EDN
2018-03-16,60.0,60.6,58.5,59.2,95153.0,EDN
2018-03-19,59.2,59.2,55.2,58.0,180297.0,EDN
2018-03-20,59.0,59.0,56.75,57.1,70915.0,EDN
