date,open,high,low,close,volume,ticker
2018-01-02,86.0,90.5,85.5,88.4,119780.0,LOMA
2018-01-03,89.1,92.0,88.0,89.0,192767.0,LOMA
2018-01-04,90.0,94.5,90.0,92.1,320006.0,LOMA
2018-01-05,93.0,94.7,91.0,92.0,281532.0,LOMA
2018-01-08,92.05,93.0,87.0,90.5,158779.0,LOMA
2018-01-09,90.5,92.0,88.8,89.25,154372.0,LOMA
2018-01-10,88.0,91.0,88.0,90.5,66521.0,LOMA
2018-01-11,91.45,92.0,89.0,90.6,130032.0,LOMA
2018-01-12,91.9,95.0,91.9,95.0,244928.0,LOMA
2018-01-15,95.2,102.0,95.0,98.25,165341.0,LOMA
2018-01-16,99.4,99.4,94.1,95.0,368417.0,LOMA
2018-01-17,95.0,95.0,92.3,93.0,246928.0,LOMA
2018-01-18,95.0,95.0,92.5,93.65,118042.0,LOMA
2018-01-19,93.75,95.0,91.6,94.5,197963.0,LOMA
2018-01-22,95.0,95.5,92.15,95.0,89336.0,LOMA
2018-01-23,95.0,96.5,93.25,94.6,254046.0,LOMA
2018-01-24,95.0,97.5,93.35,94.0,143173.0,LOMA
2018-01-25,94.0,94.7,91.8,94.35,118586.0,LOMA
2018-01-26,95.3,96.2,93.8,94.3,130962.0,LOMA
2018-01-29,96.65,96.65,91.05,93.0,85160.0,LOMA
2018-01-30,92.75,94.0,88.5,90.6,108661.0,LOMA
2018-01-31,90.8,94.0,90.8,93.7,142607.0,LOMA
2018-02-01,95.0,96.0,92.3,93.5,182356.0,LOMA
2018-02-02,94.0,94.0,89.4,90.1,217808.0,LOMA
2018-02-05,90.1,90.1,84.5,85.6,176701.0,LOMA
2018-02-06,82.3,89.0,81.1,84.75,334193.0,LOMA
2018-02-07,87.0,90.0,85.9,87.1,110176.0,LOMA
2018-02-08,90.6,90.6,85.1,87.0,99367.0,LOMA
2018-02-09,88.7,88.7,83.95,86.4,119026.0,LOMA
2018-02-14,87.0,93.5,87.0,93.0,114545.0,LOMA
2018-02-15,93.05,95.0,89.7,90.8,141586.0,LOMA
2018-02-16,91.1,92.5,89.0,90.8,204085.0,LOMA
2018-02-19,91.0,92.8,90.0,92.25,46627.0,LOMA
2018-02-20,92.2,92.5,90.0,92.0,116459.0,LOMA
2018-02-21,90.5,92.0,90.0,91.05,21326.0,LOMA
2018-02-22,91.25,93.0,90.5,90.5,51985.0,LOMA
2018-02-23,90.6,91.85,88.5,89.5,38255.0,LOMA
2018-02-26,92.0,92.0,88.1,90.0,43922.0,LOMA
2018-02-27,91.5,92.0,88.5,90.2,52027.0,LOMA
2018-02-28,90.5,90.5,87.0,88.5,53957.0,LOMA
2018-03-01,88.5,90.0,86.0,86.9,40109.0,LOMA
2018-03-02,87.0,87.0,84.5,86.0,125291.0,LOMA
2018-03-05,87.0,91.4,86.0,90.1,134019.0,LOMA
2018-03-06,90.5,91.0,87.5,89.8,59393.0,LOMA
2018-03-07,89.9,90.0,89.25,89.95,61182.0,LOMA
2018-03-08,91.0,92.0,87.25,89.0,111301.0,LOMA
2018-03-09,90.0,91.0,89.4,89.4,241203.0,LOMA
2018-03-12,89.45,90.0,87.0,89.0,136884.0,LOMA
2018-03-13,89.05,90.7,89.05,89.5,98304.0,LOMA
2018-03-14,89.45,90.0,87.5,88.5,61794.0,LOMA
2018-03-15,88.5,90.4,86.7,90.0,27918.0,LOMA
2018-03-16,90.1,91.0,88.5,89.9,64911.0,LOMA
2018-03-19,89.0,90.5,86.5,86.5,140512.0,LOMA
2018-03-20,86.0,87.5,85.05,86.95,52011.0,LOMA
2018-03-21,87.0,89.0,86.6,86.8,46285.0,LOMA
2018-03-22,86.0,86.0,83.5,84.75,142936.0,LOMA
2018-03-23,83.5,85.1,82.75,83.5,53280.0,LOMA
2018-03-26,84.0,87.0,83.2,84.5,187362.0,LOMA
2018-03-27,86.0,88.0,84.0,86.5,107037.0,LOMA
2018-03-28,86.5,87.0,85.0,86.4,74830.0,LOMA
2018-04-03,86.4,87.0,85.8,86.5,32175.0,LOMA
2018-04-04,86.5,88.0,85.5,88.0,80543.0,LOMA
2018-04-05,87.95,88.55,87.05,87.1,23237.0,LOMA
2018-04-06,88.95,88.95,87.65,88.9,37566.0,LOMA
2018-04-09,90.0,90.0,87.2,88.0,117967.0,LOMA
2018-04-10,88.0,89.9,87.0,89.2,185715.0,LOMA
2018-04-11,89.1,89.1,87.15,88.0,71088.0,LOMA
2018-04-12,86.8,89.75,86.8,88.5,55813.0,LOMA
2018-04-13,88.5,88.5,86.0,87.5,53694.0,LOMA
2018-04-16,87.5,87.5,85.0,87.1,44049.0,LOMA
2018-04-17,86.65,87.0,85.2,86.0,26412.0,LOMA
2018-04-18,85.7,90.0,85.7,89.2,35542.0,LOMA
2018-04-19,89.0,89.0,85.8,86.6,34308.0,LOMA
2018-04-20,86.3,86.95,85.75,86.0,33308.0,LOMA
2018-04-23,87.0,88.0,86.15,86.6,44326.0,LOMA
2018-04-24,88.4,88.4,83.5,85.0,50630.0,LOMA
2018-04-25,84.0,85.0,82.1,84.0,44629.0,LOMA
2018-04-26,84.15,85.0,82.0,84.2,96611.0,LOMA
2018-04-27,84.5,85.5,82.25,84.4,162937.0,LOMA
2018-05-02,84.2,86.0,78.1,81.75,84824.0,LOMA
2018-05-03,79.2,85.0,78.0,83.9,601642.0,LOMA
2018-05-04,83.0,83.0,79.0,80.3,431460.0,LOMA
2018-05-07,79.0,82.95,77.0,77.0,341384.0,LOMA
2018-05-08,78.0,79.0,73.5,75.5,850006.0,LOMA
2018-05-09,74.9,79.5,74.9,79.1,303205.0,LOMA
2018-05-10,79.0,83.5,79.0,83.5,80864.0,LOMA
2018-05-11,83.0,83.0,79.0,80.1,142552.0,LOMA
2018-05-14,79.0,79.0,71.4,72.5,489292.0,LOMA
2018-05-15,70.0,75.0,67.5,72.25,852500.0,LOMA
2018-05-16,73.95,74.0,69.55,73.5,343649.0,LOMA
2018-05-17,75.5,75.5,72.6,74.85,152993.0,LOMA
2018-05-18,76.0,77.95,74.3,74.55,286070.0,LOMA
2018-05-21,75.0,76.1,74.0,74.0,148356.0,LOMA
2018-05-22,74.95,75.0,71.6,73.9,70750.0,LOMA
2018-05-23,73.5,73.5,63.8,63.8,849403.0,LOMA
2018-05-24,62.75,62.75,54.5,56.8,1834768.0,LOMA
2018-05-28,59.1,61.35,58.1,59.05,338140.0,LOMA
2018-05-29,60.5,64.5,60.5,63.6,834471.0,LOMA
2018-05-30,65.0,65.0,62.0,64.5,210527.0,LOMA
2018-05-31,63.0,64.5,60.5,64.25,199265.0,LOMA
2018-06-01,64.0,64.85,61.5,64.5,221248.0,LOMA
2018-06-04,64.15,66.9,63.75,66.5,100892.0,LOMA
2018-06-05,66.7,70.0,66.25,70.0,332820.0,LOMA
2018-06-06,70.0,70.25,67.5,69.4,213780.0,LOMA
2018-06-07,68.45,69.5,66.2,67.0,95583.0,LOMA
2018-06-08,69.5,71.95,69.0,70.0,144810.0,LOMA
2018-06-11,71.0,71.0,69.0,69.75,181270.0,LOMA
2018-06-12,70.1,70.1,67.05,69.0,45293.0,LOMA
2018-06-13,68.8,68.8,66.8,68.0,95513.0,LOMA
2018-06-14,68.0,69.5,66.5,69.5,262719.0,LOMA
2018-06-15,69.25,70.7,65.7,70.7,91117.0,LOMA
2018-06-18,66.5,66.5,62.05,64.0,191474.0,LOMA
2018-06-19,63.2,68.0,63.2,67.5,441817.0,LOMA
2018-06-21,71.5,75.5,68.05,70.0,734169.0,LOMA
2018-06-22,72.0,72.5,69.05,72.5,260481.0,LOMA
2018-06-25,72.45,72.45,67.05,67.25,56925.0,LOMA
2018-06-26,67.4,68.5,65.0,66.0,33917.0,LOMA
2018-06-27,64.0,64.0,59.0,59.0,102478.0,LOMA
2018-06-28,59.0,61.0,45.5,60.25,156462.0,LOMA
2018-06-29,61.0,62.5,57.0,58.2,185353.0,LOMA
2018-07-02,56.15,58.0,45.0,58.0,232258.0,LOMA
2018-07-03,57.5,62.8,57.5,62.0,90344.0,LOMA
2018-07-04,62.0,62.7,59.0,61.25,42474.0,LOMA
2018-07-05,61.95,65.0,61.95,65.0,164996.0,LOMA
2018-07-06,64.75,67.25,62.5,63.0,92455.0,LOMA
2018-07-10,63.0,63.0,60.05,61.7,340805.0,LOMA
2018-07-11,59.0,62.0,59.0,60.7,24442.0,LOMA
2018-07-12,61.1,62.5,58.5,59.5,79863.0,LOMA
2018-07-13,61.0,61.0,56.05,57.8,84007.0,LOMA
2018-07-16,58.0,58.0,56.0,56.5,43898.0,LOMA
2018-07-17,55.0,57.95,55.0,56.65,44913.0,LOMA
2018-07-18,56.95,58.05,56.0,57.85,129411.0,LOMA
2018-07-19,57.35,58.65,56.35,58.0,40078.0,LOMA
2018-07-20,55.1,60.5,55.1,60.5,72274.0,LOMA
2018-07-23,60.45,60.45,57.5,57.75,139198.0,LOMA
2018-07-24,58.55,59.0,56.65,56.7,74956.0,LOMA
2018-07-25,56.75,60.5,56.75,59.0,180358.0,LOMA
2018-07-26,61.0,62.0,60.0,61.75,108467.0,LOMA
2018-07-27,61.9,64.0,61.75,63.5,95550.0,LOMA
2018-07-30,63.5,65.45,62.7,63.0,222943.0,LOMA
2018-07-31,63.5,63.5,61.2,61.85,153389.0,LOMA
2018-08-01,63.0,63.0,60.25,61.25,40050.0,LOMA
2018-08-02,61.95,62.0,58.5,58.5,75366.0,LOMA
2018-08-03,60.0,61.5,59.5,60.0,181812.0,LOMA
2018-08-06,61.5,61.5,58.4,59.0,89570.0,LOMA
2018-08-07,59.0,59.0,56.65,56.7,45244.0,LOMA
2018-08-08,56.0,57.0,54.0,54.7,169976.0,LOMA
2018-08-09,52.85,53.6,51.5,53.0,134069.0,LOMA
2018-08-10,52.0,55.2,50.1,55.1,192941.0,LOMA
2018-08-13,53.1,59.0,53.1,55.1,242792.0,LOMA
2018-08-14,55.1,58.0,55.0,58.0,46282.0,LOMA
2018-08-15,57.95,59.0,55.25,56.5,49169.0,LOMA
2018-08-16,56.45,56.95,53.0,54.8,40870.0,LOMA
2018-08-17,55.0,55.5,51.05,54.45,414558.0,LOMA
2018-08-21,54.2,54.25,51.5,52.5,80021.0,LOMA
2018-08-22,52.95,53.2,51.35,52.85,73774.0,LOMA
2018-08-23,51.7,54.6,51.2,52.5,179597.0,LOMA
2018-08-24,52.5,52.5,48.1,50.3,180003.0,LOMA
2018-08-27,50.5,52.6,50.5,51.5,112133.0,LOMA
2018-08-28,51.0,54.5,50.0,52.0,66669.0,LOMA
2018-08-29,50.3,52.15,50.05,52.0,136869.0,LOMA
2018-08-30,50.55,54.95,49.0,52.95,85536.0,LOMA
2018-08-31,54.0,56.75,54.0,56.75,252573.0,LOMA
2018-09-03,56.3,57.0,52.9,56.0,46947.0,LOMA
2018-09-04,54.0,56.7,54.0,56.7,131481.0,LOMA
2018-09-05,58.6,60.0,56.55,57.5,89102.0,LOMA
2018-09-06,60.15,61.75,58.8,60.8,594604.0,LOMA
2018-09-07,62.0,62.0,57.0,59.5,62132.0,LOMA
2018-09-10,58.0,60.0,57.15,59.3,24024.0,LOMA
2018-09-11,56.95,59.5,56.9,59.45,113889.0,LOMA
