date,open,high,low,close,volume,ticker
2018-01-02,43.0,46.5,43.0,46.5,132734.0,METR
2018-01-03,47.05,48.0,45.05,47.95,247973.0,METR
2018-01-04,48.9,48.9,46.6,48.75,129803.0,METR
2018-01-05,48.8,49.5,46.5,49.25,100853.0,METR
2018-01-08,49.5,49.5,47.35,47.5,122469.0,METR
2018-01-09,48.0,48.5,46.55,46.6,73637.0,METR
2018-01-10,46.95,46.95,44.1,46.7,54136.0,METR
2018-01-11,46.8,48.9,46.8,48.25,74078.0,METR
2018-01-12,49.0,51.5,48.4,50.8,195519.0,METR
2018-01-15,50.9,53.0,50.5,53.0,236561.0,METR
2018-01-16,53.0,53.5,50.6,53.25,151409.0,METR
2018-01-17,54.0,56.0,52.0,52.6,140835.0,METR
2018-01-18,52.8,54.85,52.65,53.5,113867.0,METR
2018-01-19,54.05,58.8,52.9,58.8,249954.0,METR
2018-01-22,58.25,60.4,57.8,59.1,266505.0,METR
2018-01-23,59.15,59.7,58.35,59.7,162857.0,METR
2018-01-24,59.9,63.0,59.9,62.45,110665.0,METR
2018-01-25,64.0,67.5,63.0,66.3,113908.0,METR
2018-01-26,67.5,69.0,66.35,67.95,124540.0,METR
2018-01-29,68.05,74.5,65.05,74.3,168161.0,METR
2018-01-30,74.45,77.0,72.6,74.3,337218.0,METR
2018-01-31,74.9,82.0,74.9,82.0,362791.0,METR
2018-02-01,83.5,88.45,80.0,84.35,437182.0,METR
2018-02-02,83.5,83.5,73.0,77.0,314396.0,METR
2018-02-05,76.9,76.9,63.5,65.0,713652.0,METR
2018-02-06,61.75,63.0,56.5,59.0,926025.0,METR
2018-02-07,61.8,65.7,61.0,64.8,564106.0,METR
2018-02-08,67.0,69.15,60.0,61.0,370638.0,METR
2018-02-09,59.9,63.0,54.0,59.1,380985.0,METR
2018-02-14,62.0,68.5,59.1,67.75,312826.0,METR
2018-02-15,70.0,74.0,68.65,73.0,355204.0,METR
2018-02-16,75.0,77.95,73.0,76.0,352740.0,METR
