date,open,high,low,close,volume,ticker
2018-01-02,3.65,3.9,3.65,3.9,14593.0,MORI
2018-01-03,3.85,3.85,3.7,3.75,11619.0,MORI
2018-01-04,3.81,3.9,3.75,3.75,33263.0,MORI
2018-01-05,3.85,4.1,3.85,3.85,38664.0,MORI
2018-01-08,4.0,4.0,3.7,3.9,52736.0,MORI
2018-01-09,4.09,4.09,3.7,3.85,77653.0,MORI
2018-01-10,3.71,3.74,3.6,3.6,80074.0,MORI
2018-01-11,3.7,3.75,3.65,3.65,48800.0,MORI
2018-01-12,3.7,3.82,3.67,3.79,34377.0,MORI
2018-01-15,3.8,3.8,3.63,3.79,29980.0,MORI
2018-01-16,3.8,3.9,3.72,3.75,41598.0,MORI
2018-01-17,3.79,3.8,3.6,3.61,146546.0,MORI
2018-01-18,3.62,3.92,3.61,3.82,154524.0,MORI
2018-01-19,3.89,4.0,3.82,3.86,65026.0,MORI
2018-01-22,3.86,3.88,3.7,3.7,71305.0,MORI
2018-01-23,3.79,4.3,3.79,4.25,88995.0,MORI
2018-01-24,4.45,4.99,4.35,4.98,267847.0,MORI
2018-01-25,4.98,5.2,4.78,5.05,236572.0,MORI
2018-01-26,5.05,5.8,5.05,5.8,338775.0,MORI
2018-01-29,5.7,6.1,5.65,5.85,230736.0,MORI
2018-01-30,5.85,5.85,5.1,5.3,124311.0,MORI
2018-01-31,5.3,5.51,5.2,5.3,60700.0,MORI
2018-02-01,5.3,5.3,5.0,5.17,93059.0,MORI
2018-02-02,5.1,5.1,4.65,4.74,67183.0,MORI
2018-02-05,4.7,4.7,4.4,4.42,57731.0,MORI
2018-02-06,4.42,4.42,4.3,4.4,20536.0,MORI
2018-02-07,4.38,4.65,4.38,4.65,23276.0,MORI
2018-02-08,4.65,4.7,4.45,4.45,3908.0,MORI
2018-02-09,4.5,4.5,4.2,4.3,20700.0,MORI
2018-02-14,4.5,4.6,4.4,4.4,8120.0,MORI
2018-02-15,4.4,4.4,4.3,4.45,3325.0,MORI
2018-02-16,4.5,4.5,4.2,4.48,20390.0,MORI
2018-02-19,4.46,4.46,4.4,4.4,3712.0,MORI
2018-02-20,4.45,4.45,4.15,4.2,60102.0,MORI
2018-02-21,4.25,4.45,4.25,4.45,2250.0,MORI
2018-02-22,4.45,4.6,4.25,4.47,8699.0,MORI
2018-02-23,4.39,4.39,4.2,4.26,13072.0,MORI
2018-02-26,4.21,4.3,4.2,4.22,12384.0,MORI
2018-02-27,4.2,4.2,4.0,4.0,21860.0,MORI
2018-02-28,4.0,4.0,3.75,4.0,19689.0,MORI
2018-03-01,4.01,4.35,4.01,4.1,52340.0,MORI
2018-03-02,4.25,4.35,4.05,4.15,13744.0,MORI
2018-03-05,4.2,4.4,4.2,4.3,40752.0,MORI
2018-03-06,4.4,4.45,4.35,4.45,17560.0,MORI
2018-03-08,4.11,4.45,4.1,4.45,1050.0,MORI
2018-03-09,4.45,4.45,4.28,4.4,20270.0,MORI
2018-03-13,4.49,4.49,4.3,4.3,1170.0,MORI
2018-03-14,4.29,4.3,4.29,4.3,3000.0,MORI
2018-03-15,4.3,4.3,4.3,4.3,1000.0,MORI
2018-03-16,4.25,4.3,4.25,4.3,700.0,MORI
2018-03-20,4.1,4.1,4.0,4.0,6900.0,MORI
2018-03-21,4.2,4.25,4.1,4.25,22300.0,MORI
2018-03-22,4.3,4.45,4.3,4.45,7700.0,MORI
2018-03-23,4.45,4.45,4.45,4.45,56.0,MORI
2018-03-26,4.45,4.45,4.45,4.45,1973.0,MORI
2018-03-27,4.23,4.4,4.23,4.4,26292.0,MORI
2018-03-28,4.4,4.4,4.4,4.4,1000.0,MORI
2018-04-03,4.35,4.4,4.35,4.4,4568.0,MORI
2018-04-04,4.4,4.4,4.4,4.4,1500.0,MORI
2018-04-06,4.18,4.4,4.18,4.2,10300.0,MORI
2018-04-09,4.19,4.2,4.0,4.2,40271.0,MORI
2018-04-10,4.1,4.4,4.0,4.4,20400.0,MORI
2018-04-11,4.3,4.4,4.3,4.4,11000.0,MORI
2018-04-12,4.25,4.4,4.2,4.4,165000.0,MORI
2018-04-13,4.35,4.5,4.25,4.5,25828.0,MORI
2018-04-16,4.48,4.5,4.35,4.45,10760.0,MORI
2018-04-17,4.4,4.45,4.35,4.45,6608.0,MORI
2018-04-18,4.4,4.5,4.4,4.5,16480.0,MORI
2018-04-19,4.35,4.42,4.32,4.4,30165.0,MORI
2018-04-20,4.3,4.35,4.3,4.35,2920.0,MORI
2018-04-23,4.3,4.35,4.3,4.35,1401.0,MORI
2018-04-24,4.3,4.35,4.3,4.35,28179.0,MORI
2018-04-25,4.2,4.3,4.1,4.3,31002.0,MORI
2018-04-26,4.1,4.3,4.1,4.3,31989.0,MORI
2018-04-27,4.3,4.3,4.3,4.3,400.0,MORI
2018-05-02,4.1,4.15,4.1,4.1,6611.0,MORI
2018-05-03,4.1,4.1,4.0,4.0,19013.0,MORI
2018-05-04,4.05,4.1,3.9,3.9,16200.0,MORI
2018-05-07,3.8,3.9,3.8,3.8,6550.0,MORI
2018-05-08,3.5,3.8,3.5,3.8,9903.0,MORI
2018-05-09,3.8,3.8,3.8,3.8,21000.0,MORI
2018-05-10,3.9,3.99,3.9,3.99,7550.0,MORI
2018-05-11,4.05,4.05,3.99,3.99,2806.0,MORI
2018-05-14,3.95,3.99,3.9,3.9,6300.0,MORI
2018-05-15,3.81,4.1,3.81,4.1,17777.0,MORI
2018-05-16,4.0,4.1,3.9,4.05,3065.0,MORI
2018-05-17,4.15,4.15,4.15,4.15,703.0,MORI
2018-05-18,3.96,4.25,3.96,4.2,49896.0,MORI
2018-05-21,4.2,4.2,4.2,4.2,2000.0,MORI
2018-05-24,4.3,4.35,4.05,4.1,17363.0,MORI
2018-05-29,4.0,4.0,4.0,4.0,750.0,MORI
2018-05-30,4.1,4.1,4.05,4.05,800.0,MORI
2018-05-31,4.03,4.03,4.03,4.03,300.0,MORI
2018-06-01,4.15,4.15,4.15,4.15,1000.0,MORI
2018-06-04,4.0,4.1,4.0,4.1,930.0,MORI
2018-06-05,4.0,4.0,4.0,4.0,8500.0,MORI
2018-06-06,4.0,4.1,4.0,4.0,22000.0,MORI
2018-06-07,4.0,4.1,3.9,4.1,4290.0,MORI
2018-06-08,4.1,4.2,4.1,4.2,21997.0,MORI
2018-06-11,3.8,3.8,3.8,3.8,383.0,MORI
2018-06-12,3.81,4.0,3.8,3.95,12125.0,MORI
2018-06-13,3.8,3.8,3.8,3.8,4225.0,MORI
2018-06-14,3.8,4.0,3.8,4.0,6151.0,MORI
2018-06-15,4.0,4.0,3.8,4.0,9285.0,MORI
2018-06-18,3.9,4.0,3.75,3.9,2904.0,MORI
2018-06-19,3.85,4.0,3.85,4.0,22550.0,MORI
2018-06-21,4.0,4.2,4.0,4.2,3785.0,MORI
2018-06-22,4.0,4.15,4.0,4.15,1750.0,MORI
2018-06-28,4.15,4.18,4.15,4.18,478.0,MORI
2018-06-29,4.2,4.2,4.2,4.2,625.0,MORI
2018-07-02,4.2,4.2,4.0,4.0,1801.0,MORI
2018-07-03,4.0,4.1,3.75,3.8,18002.0,MORI
2018-07-04,3.8,3.8,3.5,3.79,20838.0,MORI
2018-07-05,3.9,3.9,3.9,3.9,230.0,MORI
2018-07-10,3.9,3.9,3.85,3.85,3500.0,MORI
2018-07-12,3.5,3.5,3.5,3.5,795.0,MORI
2018-07-13,3.51,3.51,3.4,3.4,22981.0,MORI
2018-07-16,3.39,3.5,3.39,3.5,23300.0,MORI
2018-07-17,3.5,3.7,3.5,3.7,10000.0,MORI
2018-07-18,3.7,3.7,3.7,3.7,2162.0,MORI
2018-07-23,3.8,3.9,3.8,3.9,23300.0,MORI
2018-07-24,3.9,3.9,3.89,3.89,1765.0,MORI
2018-07-25,3.9,3.9,3.9,3.9,7000.0,MORI
2018-07-26,3.9,3.95,3.9,3.9,25892.0,MORI
2018-07-27,3.95,3.95,3.9,3.9,5800.0,MORI
2018-07-30,3.9,3.9,3.9,3.9,1000.0,MORI
2018-07-31,3.74,3.9,3.6,3.9,19653.0,MORI
2018-08-01,2.2,2.8,2.2,2.7,357159.0,MORI
2018-08-02,2.6,2.65,2.2,2.25,582117.0,MORI
2018-08-03,2.3,2.45,2.0,2.04,682931.0,MORI
2018-08-06,2.03,2.03,1.84,1.94,344237.0,MORI
2018-08-07,1.98,1.98,1.87,1.87,80025.0,MORI
2018-08-08,1.9,1.94,1.85,1.85,38500.0,MORI
2018-08-09,1.9,1.95,1.89,1.89,67447.0,MORI
2018-08-10,1.89,1.89,1.88,1.88,24578.0,MORI
2018-08-13,1.88,1.88,1.65,1.75,56269.0,MORI
2018-08-14,1.7,1.8,1.7,1.75,126644.0,MORI
2018-08-15,1.75,1.8,1.74,1.75,39575.0,MORI
2018-08-16,1.75,1.75,1.61,1.7,74585.0,MORI
2018-08-17,1.69,1.85,1.69,1.85,71691.0,MORI
2018-08-21,1.92,2.1,1.9,2.0,482676.0,MORI
2018-08-22,2.1,2.25,2.01,2.13,1069057.0,MORI
2018-08-23,2.15,2.15,1.95,2.0,240406.0,MORI
2018-08-24,2.05,2.05,1.82,1.85,289124.0,MORI
2018-08-27,1.94,2.05,1.89,2.0,473920.0,MORI
2018-08-28,2.02,2.02,1.82,1.91,167729.0,MORI
2018-08-29,1.97,1.97,1.85,1.9,213173.0,MORI
2018-08-30,1.85,1.98,1.85,1.98,84692.0,MORI
2018-08-31,2.12,2.2,2.1,2.18,476665.0,MORI
2018-09-03,2.2,2.2,1.9,2.2,350392.0,MORI
2018-09-04,2.0,2.21,2.0,2.21,127941.0,MORI
2018-09-05,2.3,2.3,2.15,2.25,164200.0,MORI
2018-09-06,2.15,2.35,2.15,2.29,84339.0,MORI
2018-09-07,2.3,2.31,2.2,2.27,163366.0,MORI
2018-09-10,2.3,2.35,2.2,2.28,48832.0,MORI
2018-09-11,2.28,2.28,2.16,2.25,15713.0,MORI
2018-09-12,2.27,2.29,2.18,2.24,82801.0,MORI
2018-09-13,2.19,2.29,2.11,2.21,361826.0,MORI
2018-09-14,2.13,2.2,2.06,2.15,292282.0,MORI
2018-09-17,2.25,2.25,2.1,2.2,41253.0,MORI
2018-09-18,2.11,2.22,2.1,2.2,70508.0,MORI
2018-09-19,2.2,2.41,2.18,2.35,294096.0,MORI
2018-09-20,2.45,2.45,2.28,2.38,150981.0,MORI
2018-09-21,2.4,2.4,2.3,2.35,133956.0,MORI
2018-09-24,2.32,2.33,2.25,2.25,63536.0,MORI
2018-09-25,2.25,2.27,2.17,2.25,135325.0,MORI
2018-09-26,2.27,2.3,2.23,2.26,161604.0,MORI
2018-09-27,2.37,2.37,2.22,2.26,261540.0,MORI
2018-09-28,2.27,2.4,2.22,2.25,114870.0,MORI
2018-10-01,2.36,2.36,2.27,2.28,238912.0,MORI
2018-10-02,2.28,2.29,2.27,2.27,58988.0,MORI
2018-10-03,2.32,2.32,2.15,2.25,130497.0,MORI
2018-10-04,2.3,2.3,2.06,2.08,545180.0,MORI
2018-10-05,2.12,2.12,2.05,2.11,226068.0,MORI
2018-10-08,2.2,2.2,2.18,2.2,34894.0,MORI
2018-10-09,2.25,2.25,2.0,2.1,88834.0,MORI
2018-10-10,2.1,2.12,2.04,2.04,190181.0,MORI
2018-10-11,2.02,2.1,1.99,1.99,135713.0,MORI
2018-10-12,1.92,2.14,1.92,2.1,649424.0,MORI
2018-10-16,2.1,2.1,1.96,2.0,137582.0,MORI
2018-10-17,2.05,2.05,1.9,1.99,141906.0,MORI
2018-10-18,2.05,2.05,1.9,1.94,120478.0,MORI
2018-10-19,2.0,2.0,1.95,1.97,43174.0,MORI
2018-10-22,1.97,2.0,1.97,1.99,160874.0,MORI
2018-10-23,1.95,2.0,1.9,1.95,47370.0,MORI
2018-10-24,1.96,2.05,1.95,1.95,20635.0,MORI
2018-10-25,2.0,2.05,2.0,2.04,37710.0,MORI
2018-10-26,2.05,2.1,2.0,2.04,40872.0,MORI
2018-10-29,2.0,2.05,2.0,2.05,4900.0,MORI
2018-10-30,1.95,2.02,1.95,2.02,39722.0,MORI
2018-10-31,2.0,2.02,1.93,1.99,174526.0,MORI
2018-11-01,2.0,2.02,1.98,2.02,62307.0,MORI
2018-11-02,2.02,2.25,2.02,2.14,394614.0,MORI
2018-11-05,2.14,2.25,2.14,2.18,177246.0,MORI
2018-11-06,2.16,2.25,2.15,2.18,37291.0,MORI
