date,open,high,low,close,volume,ticker
2018-01-02,50.0,51.6,49.95,51.2,838708.0,PAMP
2018-01-03,51.2,51.85,50.5,51.7,851223.0,PAMP
2018-01-04,51.85,52.2,51.0,52.0,1071040.0,PAMP
2018-01-05,52.0,52.5,51.3,52.4,942406.0,PAMP
2018-01-08,52.3,53.5,51.7,53.4,1099310.0,PAMP
2018-01-09,53.45,54.15,52.85,52.9,560636.0,PAMP
2018-01-10,52.9,52.9,51.5,51.7,977486.0,PAMP
2018-01-11,51.5,53.0,51.05,52.5,1677564.0,PAMP
2018-01-12,52.7,54.2,52.7,53.95,1440634.0,PAMP
2018-01-15,53.95,56.15,53.7,55.95,1037931.0,PAMP
2018-01-16,56.0,56.0,54.05,54.9,2558699.0,PAMP
2018-01-17,54.95,55.85,54.0,54.25,1752473.0,PAMP
2018-01-18,55.25,55.25,53.9,54.4,1542109.0,PAMP
2018-01-19,54.4,54.4,52.75,53.4,841500.0,PAMP
2018-01-22,53.4,54.0,52.7,53.8,823836.0,PAMP
2018-01-23,54.0,54.6,53.65,53.8,978510.0,PAMP
2018-01-24,54.0,55.4,53.85,55.15,729928.0,PAMP
2018-01-25,55.15,55.5,54.1,55.3,749538.0,PAMP
2018-01-26,55.5,55.95,54.7,55.25,461581.0,PAMP
2018-01-29,55.3,55.5,53.5,55.05,867335.0,PAMP
2018-01-30,55.3,55.3,53.25,54.0,587734.0,PAMP
2018-01-31,54.2,56.0,54.1,55.2,985797.0,PAMP
2018-02-01,56.0,56.1,54.45,54.65,592394.0,PAMP
2018-02-02,54.9,54.9,50.0,50.25,1619909.0,PAMP
2018-02-05,50.6,51.0,47.5,48.8,1841649.0,PAMP
2018-02-06,46.5,52.4,46.5,52.15,2771416.0,PAMP
2018-02-07,52.65,54.0,49.5,50.3,1340634.0,PAMP
2018-02-08,50.95,51.75,48.0,48.55,984048.0,PAMP
2018-02-09,48.25,49.6,46.25,47.95,1678076.0,PAMP
2018-02-14,48.8,49.2,47.9,49.0,870932.0,PAMP
2018-02-15,49.9,50.4,49.0,49.45,1432875.0,PAMP
2018-02-16,50.05,51.85,49.6,51.6,2270422.0,PAMP
2018-02-19,51.95,52.75,51.9,52.6,460783.0,PAMP
2018-02-20,52.35,52.4,51.1,51.65,1098417.0,PAMP
2018-02-21,51.7,53.0,51.2,52.55,780624.0,PAMP
2018-02-22,51.3,52.8,51.3,52.55,569632.0,PAMP
2018-02-23,52.65,53.0,50.8,51.1,750709.0,PAMP
2018-02-26,51.1,52.5,50.5,52.1,951809.0,PAMP
2018-02-27,52.9,52.9,50.75,51.45,644324.0,PAMP
2018-02-28,51.0,52.0,50.15,51.8,716344.0,PAMP
2018-03-01,51.8,51.8,49.5,49.75,689563.0,PAMP
2018-03-02,49.35,49.4,47.5,48.95,957927.0,PAMP
2018-03-05,49.05,50.25,49.0,49.2,863111.0,PAMP
2018-03-06,50.35,51.0,49.35,50.6,978626.0,PAMP
2018-03-07,50.6,50.6,49.4,50.3,325217.0,PAMP
2018-03-08,50.4,51.9,49.55,51.25,633610.0,PAMP
2018-03-09,52.0,52.9,51.0,52.0,1643366.0,PAMP
2018-03-12,52.0,52.45,51.1,51.65,921170.0,PAMP
2018-03-13,53.0,53.2,52.3,52.7,1227387.0,PAMP
2018-03-14,52.6,53.2,52.15,52.7,527043.0,PAMP
2018-03-15,52.85,53.1,51.5,52.35,691744.0,PAMP
2018-03-16,52.3,53.0,51.1,51.6,688888.0,PAMP
2018-03-19,51.4,51.4,49.1,49.8,986796.0,PAMP
2018-03-20,50.85,50.85,49.8,50.35,1080501.0,PAMP
2018-03-21,50.35,51.0,50.0,50.25,492309.0,PAMP
2018-03-22,50.15,50.75,49.5,49.75,708845.0,PAMP
2018-03-23,49.8,49.95,49.1,49.25,281511.0,PAMP
2018-03-26,50.5,50.5,49.35,49.55,665364.0,PAMP
2018-03-27,49.6,49.8,48.5,48.7,551069.0,PAMP
2018-03-28,48.5,49.45,47.5,48.25,898383.0,PAMP
2018-04-03,47.95,47.95,47.25,47.55,547763.0,PAMP
2018-04-04,47.4,48.3,46.5,47.9,624502.0,PAMP
2018-04-05,48.1,49.0,48.05,48.8,609070.0,PAMP
