ticker,amount,date,type
TGSU2,2.0067645,2018-09-17,EF
TS,4.68845,2018-11-15,EF
APBR,0.87,2018-11-21,EF
ALUA,1.03,2018-11-23,EF
TRAN,3.3494503,2018-12-19,EF
YPFD,3.051,2018-12-20,EF
TXAR,0.67284,2019-04-12,EF
BYMA,5.0,2019-04-12,EF
TGNO4,5.414,2019-04-15,EF
TGSU2,9.2006978,2019-04-16,EF
VALO,0.6,2019-04-29,EF
GGAL,1.4017729,2019-05-06,EF
BMA,10.0,2019-05-09,EF
SUPV,0.6634228,2019-05-10,EF
FRAN,3.9287719,2019-05-13,EF
TRAN,7.4211704,2019-05-13,EF
APBR,0.5527764,2019-05-15,EF
TS,12.605124,2019-05-17,EF
COME,0.1,2019-05-21,EF
APBR,1.06,2019-07-02,EF
YPFD,5.8478,2019-07-04,EF
ALUA,0.76,2019-07-05,EF
COME,1.2970588,2019-08-02,EF
APBR,2.6,2019-08-12,EF
TECO2,3.2712759,2019-08-13,EF
TGNO4,1.4765327,2019-10-10,EF
TECO2,8.1118992,2019-10-15,EF
ALUA,0.53,2019-10-31,EF
TGSU2,0.03848739,2019-11-08,AC
TGSU2,0.31214175,2019-11-08,EF
CRES,0.02660982,2019-11-08,AC
CEPU,0.71,2019-11-28,EF
BYMA,3.679839,2020-03-19,EF
BYMA,0.023021,2020-03-19,AC
SUPV,0.932733,2020-05-26,EF
COME,0.1,2020-06-12,EF
COME,0.238413123,2020-08-21,AC
GGAL,1.191507,2020-09-30,EF
LOMA,4.026667,2020-10-08,EF
TECO2,11.4796,2020-11-13,BONOS
MIRG,2.777778,2021-01-18,EF
BYMA,10.823086,2021-04-28,EF
BYMA,0.005543545,2021-04-28,AC
GGAL,1.017161487,2021-05-05,EF
MIRG,22.22222,2021-05-07,EF
SUPV,0.843334057,2021-05-11,EF
COME,0.11,2021-05-21,EF
TECO2,16.4837,2021-08-11,BONOS
CVH,82.4898,2021-09-03,EF
MIRG,10.0,2021-09-06,EF
MIRG,11111111.0,2021-10-07,EF
ALUA,1.0,2021-11-01,EF
MIRG,12.22222222,2021-11-08,EF
ALUA,0.07125,2021-12-28,EF
LOMA,15.73183,2022-04-21,EF
BYMA,41.602,2022-04-22,EF
COME,0.25,2022-05-03,EF
GGAL,7.459184237,2022-05-04,EF
MIRG,27.77777778,2022-05-06,EF
SUPV,0.641703883,2022-05-12,EF
BMA,15.44,2022-06-02,EF
TECO2,14.8004,2022-06-02,EF
BMA,15.44,2022-06-02,EF
TECO2,14.8004,2022-06-02,EF
VALO,0.627793521,2022-06-06,EF
MIRG,27.77777778,2022-06-10,EF
BBAR,12.5339953,2022-07-01,EF
BMA,2.574161997,2022-07-01,EF
VALO,0.104632254,2022-07-04,EF
BYMA,9.0,2022-07-06,AC
LOMA,38.796923,2022-07-07,EF
MIRG,27.77777778,2022-07-08,EF
ALUA,3.21,2022-07-28,EF
BMA,2.574161997,2022-07-28,EF
BBAR,1.7906,2022-07-29,EF
VALO,0.104632254,2022-08-01,EF
TXAR,8.23,2022-08-04,EF
BMA,2.574161997,2022-09-01,EF
BBAR,1.790570757,2022-09-02,EF
VALO,0.104632254,2022-09-02,EF
BBAR,1.790570757,2022-09-02,EF
VALO,0.104632254,2022-09-02,EF
BBAR,1.790570757,2022-09-02,EF
VALO,0.104632254,2022-09-02,EF
GGAL,2.712430632,2022-09-07,EF
BMA,2.574161997,2022-09-29,EF
BBAR,1.790570757,2022-09-30,EF
VALO,0.104632254,2022-10-03,EF
BMA,2.574161997,2022-10-27,EF
BBAR,1.790570757,2022-10-28,EF
VALO,0.104632254,2022-11-02,EF
IRSA,5.414380593,2022-11-03,EF
ALUA,4.28,2022-11-04,EF
CRES,5.286641903,2022-11-08,EF
BBAR,1.790570757,2022-12-01,EF
BMA,2.574161997,2022-12-01,EF
VALO,0.104632254,2022-12-02,EF
COME,2.107029,2022-12-21,EF
CEPU,5.511856,2022-12-27,EF
ALUA,0.069,2022-12-28,EF
GGAL,2.712430632,2023-01-04,EF
LOMA,11.167279,2023-01-04,EF
BYMA,7.344262295,2023-04-13,EF
ALUA,5.0,2023-04-14,EF
TXAR,29.972488,2023-04-28,EF
LOMA,38.24473503,2023-05-02,EF
COME,0.4809214116,2023-05-03,EF
CRES,22.28970449,2023-05-03,EF
GGAL,23.7337680276472,2023-05-04,EF
TECO2,22.4157980882218,2023-05-04,EF
MIRG,83.3333,2023-05-05,EF
VALO,0.7423441516,2023-05-23,EF
BMA,23.13772371,2023-05-24,EF
BMA,23.630207966,2023-06-06,EF
GGAL,8.4763457241,2023-06-07,EF
VALO,0.7423441516,2023-06-12,EF
BBAR,14.3201148737928,2023-06-16,EF
BMA,25.46008067,2023-06-26,EF
LOMA,44.028147,2023-06-29,EF
GGAL,8.4763457241,2023-07-05,EF
VALO,0.7423441504,2023-07-11,EF
BBAR,15.0340999051296,2023-07-13,EF
BMA,26.838132948,2023-07-25,EF
BBAR,15.727877812938,2023-08-01,EF
GGAL,8.4763457241,2023-08-03,EF
VALO,0.7423441504,2023-08-11,EF
BMA,35.00252794,2023-08-25,EF
BBAR,17.22994066,2023-09-01,EF
GGAL,8.4763457241,2023-09-06,EF
VALO,0.7423441504,2023-09-11,EF
BMA,32.702762,2023-09-25,EF
BBAR,17.58006276,2023-09-28,EF
CRES,61.67301932,2023-10-09,EF
CRES,0.00985448967,2023-10-09,AC
VALO,0.7423441504,2023-10-10,EF
BBAR,20.17075071,2023-10-25,EF
CEPU,29.72,2023-11-07,EF
COME,0.9618428231,2023-11-30,EF
CEPU,32.431222,2023-12-06,EF
CEPU,10.99999998,2023-12-21,EF
ALUA,0.1521,2023-12-27,EF
CEPU,5.75,2024-01-08,EF
BYMA,54.040882787,2024-04-12,EF
SUPV,43.9816517614,2024-04-24,EF
IRSA,76.1457477958,2024-05-06,EF
BBAR,217.9535538036,2024-05-07,EF
GGAL,44.0769977656,2024-05-07,EF
CRES,50.548206334,2024-05-09,EF
GGAL,95.1121028003,2024-05-16,EF
BMA,253.0199617596,2024-05-17,EF
BBAR,237.2030389704,2024-06-05,EF
BMA,263.5869049712,2024-06-24,EF
GGAL,99.0842960693,2024-06-24,EF
BBAR,247.1094156255,2024-07-04,EF
BMA,275.6514510211,2024-07-18,EF
GGAL,103.619449486354,2024-07-18,EF
TGNO4,201.764356352,2024-09-27,EF
IRSA,126.1171278269,2024-10-31,EF
IRSA,0.0360134465,2024-10-31,AC
CRES,75.2725361352,2024-11-04,EF
CEPU,39.471536151,2024-11-13,EF
ALUA,2.12,2024-12-30,EF
GGAL,18.132,2025-01-24,EF
BYMA,48.55767762,2025-04-11,EF
SUPV,61.9956736391,2025-04-28,EF
GGAL,54.7858650294,2025-05-08,EF
COME,0.7053514036,2025-05-09,EF
TGNO4,414.794742753,2025-05-13,EF
TGSU2,265.6885579753,2025-06-04,EF
BBAR,16.5285830001,2025-06-24,EF
BMA,53.140879996,2025-06-26,EF
GGAL,21.15380653431,2025-07-04,EF
VALO,0.4890284171,2025-07-24,EF
BBAR,16.7961642303,2025-07-25,EF
BMA,54.0011909248,2025-07-28,EF
GGAL,21.4962707718,2025-08-06,EF
VALO,0.4983281915,2025-08-22,EF
BBAR,17.115553465,2025-08-25,EF
BMA,55.0281228003,2025-08-26,EF
TRAN,301.794262466,2025-09-02,EF
GGAL,21.9050618610535,2025-09-04,EF
BYMA,6.5573968289,2025-09-19,EF
VALO,0.507675799,2025-09-23,EF
BBAR,17.4365899014,2025-09-24,EF
BMA,56.0603367572,2025-09-25,EF
GGAL,22.3159555901022,2025-10-06,EF
VALO,0.5182149471,2025-10-24,EF
BBAR,17.7985560712,2025-10-27,EF
BMA,57.2243060958,2025-10-28,EF
CRES,147.2568970084,2025-11-03,EF
CRES,0.0084595617664,2025-11-03,AC
GGAL,22.7792259740615,2025-11-06,EF
TECO2,90.82690878,2025-11-10,EF
TECO2,13.6320472739,2025-11-17,EF
VALO,0.5303512468,2025-11-19,EF
BBAR,18.2153804558,2025-11-21,EF
BMA,58.5664000649,2025-11-25,EF
GGAL,23.3127024855393,2025-12-04,EF
VALO,3.988709859,2025-12-04,EF
TXAR,101.9288357,2025-12-16,EF
TGNO4,162.403212084,2025-12-19,EF
BBAR,18.6658285991,2025-12-22,EF
VALO,0.4723932986,2025-12-22,EF
BMA,60.0147000927,2025-12-26,EF
ALUA,2.96,2025-12-29,EF
GGAL,23.8892068911642,2026-01-08,EF
VALO,0.4846731962,2026-01-23,EF
BBAR,19.1969087544,2026-01-26,EF
BMA,61.7222815111,2026-01-27,EF
GGAL,24.5689197902307,2026-02-05,EF
VALO,0.4986396325,2026-02-20,EF
BBAR,19.750086877,2026-02-23,EF
BMA,63.5008827206,2026-02-24,EF
GGAL,25.2769025378911,2026-03-05,EF
VALO,0.5130818272,2026-03-20,EF
BBAR,20.32210864331,2026-03-25,EF
BMA,65.3400708982,2026-03-26,EF
TXAR,27.4408722442,2026-04-06,EF
GGAL,26.0090022870789,2026-04-09,EF
BYMA,22.959339837,2026-04-14,EF
