date,divisor
2018-04-02,39918014.0
2018-04-09,39898510.6848631
2018-04-12,39867483.1068895
2018-04-24,39863505.9365972
2018-04-26,39842428.5419336
2018-05-07,39725749.4539819
2018-05-11,39640687.5031169
2018-05-21,39600731.4964996
2018-05-23,39592339.3176328
2018-07-02,44299579.2387107
2018-07-13,44271281.8893309
2018-08-14,44255031.318262
2018-08-17,44216570.3811493
2018-09-18,44175072.8268213
2018-10-01,48774800.29914
2018-11-16,48756488.2695768
2018-11-22,48730167.292228
2018-11-26,48677825.5368963
2018-12-20,48631782.279641
2018-12-21,48647117.076528
2019-01-02,48900828.761429
2019-04-01,54639659.71769
2019-04-15,54534938.2371867
2019-04-16,54466422.3668293
2019-04-17,54243660.6516973
2019-04-30,54207856.4648847
2019-05-07,54105870.557371
2019-05-10,53849895.837615
2019-05-13,53837597.1011883
2019-05-14,53683668.080532
2019-05-16,53668068.5238988
2019-05-20,53592638.877953
2019-05-22,53583479.117611
2019-07-01,47657111.891245
2019-07-03,47636983.357533
2019-07-05,47595723.765507
2019-07-10,47564785.613941
2019-08-05,47467373.852431
2019-08-13,47401369.292934
2019-08-14,47375937.868116
2019-10-01,15782511.681901
2019-10-11,15778880.143038
2019-10-16,15756456.847009
2019-11-01,15745601.28295
2019-11-11,15706839.801868
2019-11-29,15679342.2697092
2020-01-02,16540166.232933
2020-03-20,16509981.7232923
2020-04-02,16813110.344507
2020-05-27,16806310.761812
2020-06-16,16800429.6067791
2020-06-30,16615883.322559
2020-08-24,16581968.614896
2020-10-01,16549235.786289
2020-10-09,16523041.211525
2020-11-16,16494000.867351
2021-01-03,14434929.072068
2021-01-04,16555124.734671
2021-01-19,16554197.172814
2021-04-29,16533262.484773
2021-05-03,14605015.798587
2021-05-06,14583370.949576
2021-05-10,14579940.585998
2021-05-12,14575659.733596
2021-05-26,14570347.428315
2021-08-12,14516262.921901
2021-09-01,14351486.984399
2021-09-06,14318595.940923
2021-09-07,14317590.951663
2021-10-12,14316511.072746
2021-11-02,14308839.640738
2021-11-09,14307870.799977
2021-12-29,14307285.84858
2022-04-22,14391341.8408
2022-04-25,14377797.548857
2022-05-02,14470108.543563
2022-05-04,14462093.206184
2022-05-05,14370398.915801
2022-05-09,14367772.664211
2022-05-13,14365734.011408
2022-06-03,14281052.612422
2022-06-07,14275749.295788
2022-06-13,14273208.383614
2022-07-01,14236425.775169
2022-07-04,14235523.965701
2022-07-06,13882477.462073
2022-07-07,13784068.747727
2022-07-11,13781915.61975
2022-07-29,13756573.398499
2022-08-01,13753821.865386
2022-08-02,13753140.583444
2022-08-05,13674572.208051
2022-09-01,13912737.067909
2022-09-02,13905824.981353
2022-09-05,13902888.761468
2022-09-08,13882838.239263
2022-09-30,13876058.693296
2022-10-03,13873751.739489
2022-10-04,13873227.56308
2022-10-27,13866971.690732
2022-10-28,13864815.601194
2022-10-31,13864307.971088
2022-11-03,13853125.504503
2022-11-04,13834351.612093
2022-11-09,13822951.08644
2022-12-02,13815659.561082
2022-12-05,13815213.668143
2022-12-22,13783711.921416
2022-12-28,13763000.540637
2022-12-29,13762774.33
2023-01-02,13681250.679845
2023-01-05,13654039.988902
2023-04-14,13641972.957268
2023-04-17,13630219.137358
2023-05-02,13519743.75834
2023-05-03,13490562.690711
2023-05-04,13464493.330007
2023-05-05,13362676.937949
2023-05-08,13360697.7386064
2023-05-24,13359218.216068
2023-05-29,13337485.801781
2023-06-07,13317650.872939
2023-06-08,13296284.027102
2023-06-13,13294975.575102
2023-06-21,13289295.04253
2023-06-27,13270941.665491
2023-06-30,13247700.9026588
2023-07-06,13229446.800013
2023-07-12,13228286.512241
2023-07-14,13222896.116594
2023-07-26,13205102.799842
2023-08-02,13199484.138085
2023-08-04,13181427.490853
2023-08-14,13180410.459359
2023-08-28,13163096.904776
2023-09-01,12935168.451878
2023-09-04,12931037.355393
2023-09-07,12918184.84203
2023-09-12,12917285.805815
2023-09-26,12901724.566065
2023-09-29,12897111.415332
2023-10-06,128971114.15332
2023-10-10,128683291.994806
2023-10-11,128676567.236846
2023-10-26,128630926.524469
2023-11-08,128170633.405047
2023-12-01,128143249.334926
2023-12-07,127808601.282488
2023-12-22,127701758.560696
2023-12-28,127700772.355505
2024-01-02,127157827.153783
2024-01-09,127112552.339863
2024-04-15,126943055.016533
2024-04-25,126860193.1
2024-05-02,125750574.98642
2024-05-07,125635915.437047
2024-05-08,125126236.401761
2024-05-10,125029385.92719
2024-05-17,124444309.523249
2024-05-20,124122020.433801
2024-06-06,123885441.186671
2024-06-25,122993343.176844
2024-07-05,122752282.766354
2024-07-19,121782797.884839
2024-09-02,119743146.256259
2024-09-30,119669138.327821
2024-11-01,119465078.468145
2024-11-05,119364217.11214
2024-11-14,119161987.749102
2025-01-02,121687521.651533
2025-01-27,121628905.026712
2025-04-14,121176856.439742
