date,open,high,low,close,volume,ticker
2018-01-02,83.5,86.5,83.1,86.0,143546.0,TGSU2
2018-01-03,85.2,87.0,84.95,85.25,110759.0,TGSU2
2018-01-04,85.1,87.5,85.1,86.15,92481.0,TGSU2
2018-01-05,86.15,87.2,85.0,86.6,134693.0,TGSU2
2018-01-08,86.7,87.2,84.0,84.7,441738.0,TGSU2
2018-01-09,85.15,85.5,83.0,83.35,251731.0,TGSU2
2018-01-10,83.35,84.5,81.1,84.0,192153.0,TGSU2
2018-01-11,83.0,85.6,82.9,85.0,121232.0,TGSU2
2018-01-12,86.0,88.0,85.5,87.2,234707.0,TGSU2
2018-01-15,88.0,94.0,88.0,93.0,197715.0,TGSU2
2018-01-16,92.7,92.7,88.85,89.65,1209637.0,TGSU2
2018-01-17,90.5,90.75,89.55,89.75,258781.0,TGSU2
2018-01-18,91.5,92.6,90.0,90.5,304473.0,TGSU2
2018-01-19,90.4,91.5,87.5,88.9,176417.0,TGSU2
2018-01-22,88.5,90.9,86.5,90.5,176230.0,TGSU2
2018-01-23,90.15,92.0,90.05,91.2,284640.0,TGSU2
2018-01-24,91.5,94.0,91.05,93.4,156312.0,TGSU2
2018-01-25,93.95,93.95,90.5,92.95,216746.0,TGSU2
2018-01-26,92.95,93.25,91.2,92.6,155042.0,TGSU2
2018-01-29,93.5,93.8,90.0,93.25,296659.0,TGSU2
2018-01-30,93.35,93.35,88.55,88.75,525681.0,TGSU2
2018-01-31,89.0,92.85,88.5,90.05,826471.0,TGSU2
2018-02-01,91.0,92.2,88.0,88.15,264571.0,TGSU2
2018-02-02,88.0,88.15,83.0,83.55,257365.0,TGSU2
2018-02-05,83.95,84.4,79.5,80.2,315389.0,TGSU2
2018-02-06,77.0,86.5,76.25,86.5,826696.0,TGSU2
2018-02-07,87.0,89.9,84.5,86.25,257554.0,TGSU2
2018-02-08,86.75,88.9,82.0,83.0,492374.0,TGSU2
2018-02-09,81.25,85.25,78.75,81.55,380878.0,TGSU2
2018-02-14,81.55,87.8,80.0,86.35,279469.0,TGSU2
2018-02-15,87.5,87.5,84.5,85.5,310518.0,TGSU2
2018-02-16,85.75,89.0,85.6,87.45,437971.0,TGSU2
2018-02-19,87.6,89.7,87.55,88.15,136102.0,TGSU2
2018-02-20,88.2,88.6,86.1,87.55,196079.0,TGSU2
2018-02-21,87.5,87.5,82.2,85.55,226775.0,TGSU2
2018-02-22,86.0,86.9,84.0,85.2,91996.0,TGSU2
2018-02-23,85.2,86.25,83.55,84.0,112142.0,TGSU2
2018-02-26,86.0,86.0,83.0,84.3,190677.0,TGSU2
2018-02-27,84.2,84.2,82.0,83.0,177247.0,TGSU2
2018-02-28,86.0,86.0,81.5,83.5,556175.0,TGSU2
2018-03-01,84.0,84.0,80.0,81.5,358293.0,TGSU2
2018-03-02,81.0,81.0,78.0,79.6,291691.0,TGSU2
2018-03-05,80.0,81.0,79.3,80.0,411125.0,TGSU2
2018-03-06,80.5,83.25,80.5,82.35,67180.0,TGSU2
2018-03-07,82.0,83.4,80.25,83.2,131086.0,TGSU2
2018-03-08,84.0,88.0,84.0,85.2,183915.0,TGSU2
2018-03-09,85.5,88.0,85.5,87.2,333473.0,TGSU2
2018-03-12,87.0,88.35,86.35,87.8,72595.0,TGSU2
2018-03-13,87.45,87.45,85.1,85.85,197082.0,TGSU2
2018-03-14,86.0,87.4,85.25,86.05,51201.0,TGSU2
2018-03-15,86.1,88.0,84.7,85.4,73455.0,TGSU2
2018-03-16,86.0,86.9,85.5,86.0,128808.0,TGSU2
2018-03-19,86.0,86.1,82.0,83.85,147339.0,TGSU2
2018-03-20,83.9,84.85,82.0,82.5,139228.0,TGSU2
2018-03-21,82.5,84.95,82.5,82.85,149009.0,TGSU2
2018-03-22,82.5,82.5,78.2,79.3,193204.0,TGSU2
2018-03-23,79.0,80.0,77.1,78.0,228200.0,TGSU2
2018-03-26,80.0,82.0,78.4,80.25,198922.0,TGSU2
2018-03-27,81.0,82.45,80.1,82.0,411691.0,TGSU2
2018-03-28,82.5,84.0,81.55,81.75,515999.0,TGSU2
2018-04-03,82.0,85.55,81.7,85.5,263613.0,TGSU2
2018-04-04,84.5,87.0,82.8,86.15,252329.0,TGSU2
2018-04-05,86.8,86.8,85.05,85.55,183156.0,TGSU2
2018-04-06,86.9,86.9,82.15,84.6,182157.0,TGSU2
2018-04-09,84.65,85.5,82.0,82.85,72500.0,TGSU2
2018-04-10,83.0,84.5,82.9,84.2,112118.0,TGSU2
2018-04-11,84.4,85.95,82.2,85.5,164370.0,TGSU2
2018-04-12,85.55,85.55,83.3,83.85,81662.0,TGSU2
2018-04-13,84.0,84.0,82.0,82.2,88349.0,TGSU2
2018-04-16,81.8,82.5,80.6,81.8,88623.0,TGSU2
2018-04-17,81.3,83.7,81.3,83.05,99819.0,TGSU2
2018-04-18,83.05,84.5,82.1,82.1,112944.0,TGSU2
2018-04-19,81.3,81.35,79.25,80.85,209861.0,TGSU2
2018-04-20,80.85,80.85,78.0,78.45,170989.0,TGSU2
2018-04-23,79.0,79.85,77.0,77.65,74003.0,TGSU2
2018-04-24,77.85,79.0,76.5,77.0,121871.0,TGSU2
2018-04-25,76.2,77.7,74.0,76.9,175780.0,TGSU2
2018-04-26,76.85,77.0,73.6,75.9,206701.0,TGSU2
2018-04-27,76.15,79.0,76.0,78.05,463144.0,TGSU2
2018-05-02,79.0,79.0,77.0,78.05,170260.0,TGSU2
2018-05-03,77.0,82.0,77.0,80.0,336917.0,TGSU2
2018-05-04,78.5,81.0,72.75,74.7,282571.0,TGSU2
2018-05-07,74.5,75.25,72.1,73.0,234976.0,TGSU2
2018-05-08,71.8,75.5,67.0,73.45,733915.0,TGSU2
2018-05-09,72.0,77.1,72.0,73.6,402748.0,TGSU2
2018-05-10,77.1,83.5,77.1,82.55,352346.0,TGSU2
2018-05-11,84.0,84.5,79.0,82.95,306765.0,TGSU2
2018-05-14,81.7,85.25,78.55,85.05,382471.0,TGSU2
2018-05-15,85.0,90.0,82.05,83.5,325600.0,TGSU2
2018-05-16,86.0,88.45,84.0,88.05,308732.0,TGSU2
2018-05-17,88.5,88.5,87.0,87.95,299949.0,TGSU2
2018-05-18,87.95,88.5,87.0,88.15,313358.0,TGSU2
2018-05-21,87.95,87.95,84.5,87.05,81642.0,TGSU2
2018-05-22,86.8,87.75,85.5,86.15,189485.0,TGSU2
2018-05-23,85.0,88.0,82.5,85.75,175872.0,TGSU2
2018-05-24,85.75,87.5,85.4,86.75,130828.0,TGSU2
2018-05-28,85.4,87.0,82.5,86.1,61183.0,TGSU2
2018-05-29,86.2,86.2,80.0,83.9,154228.0,TGSU2
2018-05-30,83.0,86.0,82.5,83.65,215297.0,TGSU2
2018-05-31,83.9,85.25,82.4,84.3,187405.0,TGSU2
2018-06-01,86.0,86.5,82.0,85.4,123050.0,TGSU2
2018-06-04,85.4,86.3,83.5,84.05,70460.0,TGSU2
