date,open,high,low,close,volume,ticker
2018-01-02,49.0,52.0,47.8,52.0,455554.0,TRAN
2018-01-03,52.0,54.0,51.0,54.0,538950.0,TRAN
2018-01-04,53.95,55.35,53.2,55.0,515171.0,TRAN
2018-01-05,55.0,58.8,53.5,57.3,496137.0,TRAN
2018-01-08,57.8,60.5,56.6,60.25,673835.0,TRAN
2018-01-09,60.4,62.5,59.55,60.6,1620742.0,TRAN
2018-01-10,60.0,60.0,58.0,59.55,632452.0,TRAN
2018-01-11,59.55,60.45,59.5,59.7,358952.0,TRAN
2018-01-12,60.2,60.9,59.75,59.8,573676.0,TRAN
2018-01-15,59.8,60.45,59.0,59.8,944375.0,TRAN
2018-01-16,59.9,60.9,59.25,59.9,511159.0,TRAN
2018-01-17,61.0,61.4,59.85,60.5,1566291.0,TRAN
2018-01-18,61.0,64.8,60.7,61.0,1702221.0,TRAN
2018-01-19,61.0,62.3,59.0,60.0,414844.0,TRAN
2018-01-22,60.0,61.4,59.3,59.9,356405.0,TRAN
2018-01-23,60.0,60.5,59.0,59.9,340912.0,TRAN
2018-01-24,60.05,63.7,60.0,63.55,513098.0,TRAN
2018-01-25,63.55,65.0,62.4,63.25,941746.0,TRAN
2018-01-26,63.55,65.0,63.25,63.65,300609.0,TRAN
2018-01-29,64.65,64.95,62.05,63.95,227792.0,TRAN
2018-01-30,64.5,64.5,61.55,63.55,492969.0,TRAN
2018-01-31,62.2,65.3,62.2,64.4,1559900.0,TRAN
2018-02-01,65.0,65.5,64.7,65.05,312656.0,TRAN
2018-02-02,65.05,65.05,60.75,61.15,712997.0,TRAN
2018-02-05,61.15,61.25,55.0,56.3,1267948.0,TRAN
2018-02-06,54.9,55.8,52.0,55.1,1676033.0,TRAN
2018-02-07,56.9,58.25,55.1,57.85,995015.0,TRAN
2018-02-08,57.9,58.8,55.25,55.45,727608.0,TRAN
2018-02-09,55.1,56.5,50.6,51.75,1305022.0,TRAN
2018-02-14,53.0,54.8,51.5,54.45,582309.0,TRAN
2018-02-15,54.55,56.6,54.5,55.05,481140.0,TRAN
2018-02-16,56.5,57.85,55.15,57.1,547228.0,TRAN
2018-02-19,58.0,59.0,57.9,58.65,344622.0,TRAN
2018-02-20,58.8,58.8,57.1,58.05,374612.0,TRAN
2018-02-21,58.8,58.95,56.2,57.4,179976.0,TRAN
2018-02-22,57.65,57.65,56.0,56.45,380421.0,TRAN
2018-02-23,57.0,57.95,54.55,57.0,342447.0,TRAN
2018-02-26,57.0,57.1,53.8,54.45,351482.0,TRAN
2018-02-27,54.5,55.2,51.5,53.0,518458.0,TRAN
2018-02-28,53.3,53.9,52.2,53.45,586942.0,TRAN
2018-03-01,53.25,54.0,51.1,51.3,419286.0,TRAN
