date,open,high,low,close,volume,ticker
2018-04-03,14.0,14.0,13.7,13.7,444520.0,TXAR
2018-04-04,13.75,13.8,13.55,13.55,1127127.0,TXAR
2018-04-05,13.55,14.4,13.55,14.25,1219945.0,TXAR
2018-04-06,14.4,14.4,13.9,14.0,552440.0,TXAR
2018-04-09,14.1,14.25,13.9,13.95,1105946.0,TXAR
2018-04-10,14.0,14.6,14.0,14.6,1129562.0,TXAR
2018-04-11,14.7,14.75,14.4,14.6,523934.0,TXAR
2018-04-12,14.6,14.7,14.1,14.7,768658.0,TXAR
2018-04-13,14.7,14.75,14.2,14.6,531353.0,TXAR
2018-04-16,14.6,14.65,14.1,14.5,748394.0,TXAR
2018-04-17,14.5,14.65,14.15,14.4,1761108.0,TXAR
2018-04-18,14.4,14.6,14.2,14.4,1135233.0,TXAR
2018-04-19,14.4,14.6,14.25,14.5,1050435.0,TXAR
2018-04-20,14.35,14.75,14.3,14.7,780673.0,TXAR
2018-04-23,14.7,15.45,14.4,15.4,1738659.0,TXAR
2018-04-24,15.4,15.8,14.75,15.05,1739195.0,TXAR
2018-04-25,15.0,15.0,14.5,14.8,735876.0,TXAR
2018-04-26,14.65,14.95,14.25,14.5,1378937.0,TXAR
2018-04-27,14.45,15.35,14.45,14.7,2152229.0,TXAR
2018-05-02,14.9,15.25,14.5,14.9,2387110.0,TXAR
2018-05-03,14.95,15.15,14.55,14.95,1488882.0,TXAR
2018-05-04,14.6,15.2,13.5,15.0,2820024.0,TXAR
2018-05-07,14.8,15.1,13.85,13.9,1757632.0,TXAR
2018-05-08,13.8,13.95,12.5,13.2,3237484.0,TXAR
2018-05-09,13.1,14.2,13.0,14.2,2589196.0,TXAR
2018-05-10,14.3,14.8,14.3,14.6,1821222.0,TXAR
2018-05-11,14.8,14.8,14.15,14.7,1365552.0,TXAR
2018-05-14,14.75,15.75,14.75,15.55,2975833.0,TXAR
2018-05-15,15.8,16.5,15.75,16.1,2253425.0,TXAR
2018-05-16,16.15,16.45,15.75,15.8,1894684.0,TXAR
2018-05-17,15.5,16.3,15.5,15.6,1399327.0,TXAR
2018-05-18,15.5,16.1,15.5,16.1,2384080.0,TXAR
2018-05-21,16.1,16.2,15.8,16.15,936783.0,TXAR
2018-05-22,16.0,16.15,15.75,15.8,732536.0,TXAR
2018-05-23,15.7,15.7,15.2,15.35,873078.0,TXAR
2018-05-24,15.3,15.65,14.4,14.8,833438.0,TXAR
2018-05-28,14.6,14.6,14.1,14.45,632267.0,TXAR
2018-05-29,14.5,14.7,13.75,14.4,1078550.0,TXAR
2018-05-30,14.5,14.9,14.2,14.35,1398653.0,TXAR
2018-05-31,14.35,14.85,14.35,14.6,723515.0,TXAR
2018-06-01,14.5,15.0,13.8,14.95,790816.0,TXAR
2018-06-04,14.9,15.15,14.7,15.0,1028851.0,TXAR
2018-06-05,15.5,15.55,15.15,15.55,905099.0,TXAR
2018-06-06,15.5,16.0,15.35,15.9,1515318.0,TXAR
2018-06-07,15.9,15.9,15.3,15.7,956263.0,TXAR
2018-06-08,15.75,16.25,15.75,16.1,2612779.0,TXAR
2018-06-11,16.2,16.3,15.7,16.2,1317177.0,TXAR
2018-06-12,15.9,16.2,15.5,15.95,882199.0,TXAR
